a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,12:00,OFF,jump ball,,Spencer Hawes,,,Luis Scola,,,,,,,Chuck Hayes,,,,,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:44,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,turnaround bank,21,11
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:23,SAC,shot,Jason Thompson,,,,,,,,,Donte Greene,2,,,made,,layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:04,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,running jump,16,8
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:47,SAC,turnover,,,,,,,,,,Donte Greene,,,lost ball,,Aaron Brooks,,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:38,SAC,foul,,,,,,,,Luis Scola,,Spencer Hawes,,,,,,personal,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:31,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,driving layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:30,SAC,rebound,,,,,,,,,,Beno Udrih,,,,,,def,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:25,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,33,25
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:03,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,jump bank,18,9
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:42,SAC,shot,Andres Nocioni,,,,,,,,,Spencer Hawes,3,,,made,,3pt,48,16
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:31,HOU,shot,,,,,,,,,,Aaron Brooks,2,,,made,,step back jump,18,22
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:08,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,driving layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:06,SAC,rebound,,,,,,,,,,Jason Thompson,,,,,,off,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:06,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,tip,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:04,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:58,SAC,violation,,,,,,,,,,Spencer Hawes,,,,,,kicked ball,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:50,HOU,shot,Luis Scola,,,,,,,,,Shane Battier,2,,,made,,layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:36,SAC,shot,,,Shane Battier,,,,,,,Andres Nocioni,,,,missed,,layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:34,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:30,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,layup,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:28,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:28,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,tip,25,6
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:19,SAC,shot,Beno Udrih,,,,,,,,,Spencer Hawes,3,,,made,,3pt,26,31
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:19,HOU,foul,,,,,,,,Jason Thompson,,Chuck Hayes,,,,,,loose ball,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:19,SAC,free throw,,,,,,,1,,1,Jason Thompson,,,foul,missed,,,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:19,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Andres Nocioni,Beno Udrih,Donte Greene,Jason Thompson,Spencer Hawes,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,8:07,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,fade away jumper,28,19
