a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,12:00,OFF,jump ball,,Ben Wallace,,,Amare Stoudemire,,,,,,,Channing Frye,,,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:44,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,22,12
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:44,DET,foul,,,,,,,,Amare Stoudemire,,Charlie Villanueva,,,,,,shooting,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:44,PHX,free throw,,,,,,,1,,1,Amare Stoudemire,,,foul,made,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:19,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,jump,29,23
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:17,DET,rebound,,,,,,,,,,Jonas Jerebko,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,11:01,DET,shot,,,,,,,,,,Jonas Jerebko,,,,missed,,hook,26,14
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:57,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:51,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,fade away jumper,11,5
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:31,DET,shot,Rodney Stuckey,,,,,,,,,Charlie Villanueva,2,,,made,,jump,9,5
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,10:09,PHX,shot,,,,,,,,,,Amare Stoudemire,2,,,made,,driving layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:46,DET,shot,,,,,,,,,,Charlie Villanueva,,,,missed,,3pt,42,25
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:44,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:37,PHX,turnover,,,,,,,,,,Steve Nash,,,lost ball,,Rodney Stuckey,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:33,DET,shot,Rodney Stuckey,,,,,,,,,Jonas Jerebko,2,,,made,,dunk,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,9:17,PHX,shot,,,,,,,,,,Jason Richardson,2,,,made,,jump,32,19
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:56,DET,shot,,,,,,,,,,Charlie Villanueva,2,,,made,,jump,29,13
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:50,DET,foul,,,,,,,,Jason Richardson,,Ben Gordon,,,,,,personal,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:40,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,42,17
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:17,DET,shot,,,,,,,,,,Rodney Stuckey,,,,missed,,reverse layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:13,PHX,rebound,,,,,,,,,,Grant Hill,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,8:10,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,reverse layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:46,DET,shot,,,,,,,,,,Ben Gordon,,,,missed,,3pt,8,26
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:44,DET,rebound,,,,,,,,,,Ben Wallace,,,,,,off,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:28,DET,shot,,,Channing Frye,,,,,,,Ben Gordon,,,,missed,,jump,15,9
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:25,PHX,rebound,,,,,,,,,,Channing Frye,,,,,,def,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:22,PHX,shot,Steve Nash,,,,,,,,,Grant Hill,2,,,made,,layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:03,PHX,foul,,,,,,,,Charlie Villanueva,,Amare Stoudemire,,,,,,shooting,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:03,DET,free throw,,,,,,,1,,2,Charlie Villanueva,,,foul,made,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,7:03,DET,free throw,,,,,,,2,,2,Charlie Villanueva,,,foul,made,,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,6:47,PHX,turnover,,,,,,,,,,Steve Nash,,,bad pass,,Ben Wallace,,,
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,6:43,DET,shot,,,,,,,,,,Rodney Stuckey,2,,,made,,layup,25,6
Ben Gordon,Ben Wallace,Charlie Villanueva,Jonas Jerebko,Rodney Stuckey,Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,1,6:35,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,running jump,18,14
