a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Shaquille O'Neal,,,,,,,Phoenix,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:48,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,running jump,21,9
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:47,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:43,CLE,turnover,,,,,,,,,,LeBron James,,,bad pass,,Steve Nash,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:37,PHX,shot,,,,,,,,,,Grant Hill,,,,missed,,layup,25,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:36,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:28,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,jump,5,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:27,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,11:08,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,driving layup,25,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:47,CLE,shot,LeBron James,,,,,,,,,Shaquille O'Neal,2,,,made,,layup,26,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:31,PHX,shot,,,,,,,,,,Amare Stoudemire,,,,missed,,jump,42,15
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:29,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,10:15,CLE,shot,Shaquille O'Neal,,,,,,,,,Anthony Parker,2,,,made,,jump,28,27
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:56,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,turnaround jump,39,9
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:55,CLE,rebound,,,,,,,,,,J.J. Hickson,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:38,CLE,shot,LeBron James,,,,,,,,,Mo Williams,3,,,made,,3pt,36,30
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:28,PHX,shot,,,,,,,,,,Channing Frye,,,,missed,,3pt,11,27
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:27,CLE,rebound,,,,,,,,,,Shaquille O'Neal,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,9:13,CLE,shot,Mo Williams,,,,,,,,,LeBron James,2,,,made,,driving dunk,25,7
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:56,PHX,shot,,,,,,,,,,Channing Frye,,,,missed,,running jump,21,9
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:54,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:48,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,3pt,12,29
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:47,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:32,PHX,shot,Jason Richardson,,,,,,,,,Channing Frye,2,,,made,,running bank,20,10
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:14,CLE,shot,,,Amare Stoudemire,,,,,,,Shaquille O'Neal,,,,missed,,jump,29,8
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:12,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,8:07,PHX,shot,,,,,,,,,,Steve Nash,3,,,made,,3pt,9,25
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,7:49,PHX,foul,,,,,,,,J.J. Hickson,,Amare Stoudemire,,,,,,shooting,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,7:49,CLE,free throw,,,,,,,1,,2,J.J. Hickson,,,foul,missed,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,7:49,CLE,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,Channing Frye,Grant Hill,Jason Richardson,Steve Nash,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,Shaquille O'Neal,1,7:49,CLE,free throw,,,,,,,2,,2,J.J. Hickson,,,foul,made,,,,
