a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,12:00,OFF,jump ball,,Tyson Chandler,,,Brook Lopez,,,,,,,Chris Douglas-Roberts,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:41,NJN,shot,Chris Douglas-Roberts,,,,,,,,,Courtney Lee,3,,,made,,3pt,4,17
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:17,CHA,shot,Gerald Wallace,,,,,,,,,Raymond Felton,2,,,made,,jump,33,27
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:08,NJN,shot,,,,,,,,,,Devin Harris,,,,missed,,jump,19,18
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:07,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:01,CHA,shot,Stephen Jackson,,,,,,,,,Gerald Wallace,2,,,made,,driving layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:01,NJN,foul,,,,,,,,Gerald Wallace,,Chris Douglas-Roberts,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,11:01,CHA,free throw,,,,,,,1,,1,Gerald Wallace,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:45,NJN,shot,,,,,,,,,,Brook Lopez,2,,,made,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:22,CHA,shot,,,Josh Boone,,,,,,,Tyson Chandler,,,,missed,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:21,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,10:20,CHA,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:59,NJN,shot,Courtney Lee,,,,,,,,,Brook Lopez,2,,,made,,jump,38,17
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:36,CHA,shot,Boris Diaw,,,,,,,,,Stephen Jackson,3,,,made,,3pt,12,27
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:30,NJN,shot,,,Stephen Jackson,,,,,,,Brook Lopez,,,,missed,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:28,CHA,rebound,,,,,,,,,,Stephen Jackson,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:21,NJN,foul,,,,,,,,Gerald Wallace,,Josh Boone,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:21,CHA,free throw,,,,,,,1,,2,Gerald Wallace,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:21,CHA,free throw,,,,,,,2,,2,Gerald Wallace,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,9:01,NJN,shot,,,,,,,,,,Josh Boone,,,,missed,,reverse layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:59,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:49,CHA,shot,,,,,,,,,,Boris Diaw,,,,missed,,3pt,6,21
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:47,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:40,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,jump,4,13
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:22,NJN,foul,,,,,,,,Stephen Jackson,,Courtney Lee,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:22,CHA,free throw,,,,,,,1,,2,Stephen Jackson,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:22,CHA,free throw,,,,,,,2,,2,Stephen Jackson,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:21,NJN,turnover,,,,,,,,,,Josh Boone,,,bad pass,,Raymond Felton,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:13,CHA,shot,,,Josh Boone,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:12,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,off,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:11,CHA,turnover,,,,,,,,,,Tyson Chandler,,,bad pass,,Courtney Lee,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:08,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,driving layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:08,CHA,foul,,,,,,,,Courtney Lee,,Boris Diaw,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:08,CHA,violation,,,,,,,,,,Tyson Chandler,,,,,,lane,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:08,NJN,free throw,,,,,,,1,,1,Courtney Lee,,,foul,missed,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,8:06,CHA,rebound,,,,,,,,,,Gerald Wallace,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:54,CHA,shot,,,,,,,,,,Tyson Chandler,,,,missed,,jump,15,19
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:53,NJN,rebound,,,,,,,,,,Josh Boone,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:49,CHA,foul,,,,,,,,Devin Harris,,Raymond Felton,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:49,NJN,free throw,,,,,,,1,,2,Devin Harris,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:49,NJN,free throw,,,,,,,2,,2,Devin Harris,,,foul,made,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:35,CHA,shot,Tyson Chandler,,,,,,,,,Stephen Jackson,2,,,made,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:07,NJN,shot,,,,,,,,,,Courtney Lee,,,,missed,,running jump,24,15
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,7:06,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:52,CHA,shot,Boris Diaw,,,,,,,,,Gerald Wallace,2,,,made,,layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:46,NJN,timeout,,,,,,,,,,,,,,,,regular,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:41,NJN,shot,Chris Douglas-Roberts,,,,,,,,,Josh Boone,2,,,made,,dunk,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:19,CHA,shot,Stephen Jackson,,,,,,,,,Tyson Chandler,2,,,made,,slam dunk,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:06,NJN,shot,,,Tyson Chandler,,,,,,,Josh Boone,,,,missed,,driving layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,6:05,NJN,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,5:56,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,driving layup,25,6
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,5:40,CHA,shot,,,,,,,,,,Stephen Jackson,2,,,made,,jump,8,7
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,5:25,NJN,shot,,,,,,,,,,Brook Lopez,2,,,made,,fade away jumper,24,15
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,5:01,CHA,shot,Boris Diaw,,,,,,,,,Raymond Felton,3,,,made,,3pt,48,9
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,4:40,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,,,,missed,,jump,42,15
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,4:39,CHA,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,4:33,NJN,foul,,,,,,,,Stephen Jackson,,Courtney Lee,,,,,,shooting,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,4:33,CHA,free throw,,,,,,,1,,2,Stephen Jackson,,,foul,missed,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Devin Harris,Josh Boone,1,4:33,CHA,rebound,,,,,,,,,,,,,,,,,,
Boris Diaw,Gerald Wallace,Raymond Felton,Stephen Jackson,Tyson Chandler,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Josh Boone,Terrence Williams,1,4:33,NJN,sub,,,,Terrence Williams,,Courtney Lee,,,,,,,,,,,,
