a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,12:00,OFF,jump ball,,Luis Scola,,,Greg Oden,,,,,,,Steve Blake,,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:44,POR,shot,,,,,,,,,,Martell Webster,2,,,made,,driving layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:17,HOU,shot,,,,,,,,,,Trevor Ariza,,,,missed,,jump,21,23
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:15,POR,rebound,,,,,,,,,,Greg Oden,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:04,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,turnaround jump,16,9
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:04,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:39,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,3pt,24,33
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:38,POR,rebound,,,,,,,,,,Greg Oden,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:20,POR,shot,LaMarcus Aldridge,,,,,,,,,Brandon Roy,2,,,made,,jump,39,19
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:57,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,25,26
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:56,POR,rebound,,,,,,,,,,Martell Webster,,,,,,def,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:42,POR,turnover,,,,,,,,,,LaMarcus Aldridge,,,traveling,,,,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:34,POR,foul,,,,,,,,Aaron Brooks,,Steve Blake,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:29,POR,foul,,,,,,,,Shane Battier,,Martell Webster,,,,,,personal,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:19,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,38,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:17,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:17,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,layup,25,6
Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,Brandon Roy,Greg Oden,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:57,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,3pt,48,6
