a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,12:00,OFF,jump ball,,Joakim Noah,,,Josh Smith,,,,,,,Luol Deng,,,,,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:39,CHI,shot,,,,,,,,,,Brad Miller,,,,missed,,jump,7,8
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:37,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:22,ATL,shot,,,,,,,,,,Joe Johnson,,,,missed,,running jump,29,15
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:19,CHI,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:09,ATL,foul,,,,,,,,John Salmons,,Josh Smith,,,,,,shooting,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:09,CHI,free throw,,,,,,,1,,2,John Salmons,,,foul,made,,,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,11:09,CHI,free throw,,,,,,,2,,2,John Salmons,,,foul,made,,,,
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:55,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,35,21
Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,1,10:54,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
