a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,12:00,OFF,jump ball,,Brook Lopez,,,Josh Smith,,,,,,,Mike Bibby,,,,,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:46,NJN,foul,,,,,,,,Al Horford,,Trenton Hassell,,,,,,personal,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:43,ATL,shot,Josh Smith,,,,,,,,,Joe Johnson,2,,,made,,dunk,25,6
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:22,NJN,shot,,,,,,,,,,Brook Lopez,,,,missed,,jump,27,9
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:22,NJN,rebound,,,,,,,,,,Brook Lopez,,,,,,off,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:22,ATL,foul,,,,,,,,Brook Lopez,,Josh Smith,,,,,,shooting,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:22,NJN,free throw,,,,,,,1,,2,Brook Lopez,,,foul,made,,,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:22,NJN,free throw,,,,,,,2,,2,Brook Lopez,,,foul,made,,,,
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,11:12,ATL,shot,Joe Johnson,,,,,,,,,Maurice Evans,3,,,made,,3pt,5,22
Brook Lopez,Courtney Lee,Devin Harris,Josh Boone,Trenton Hassell,Al Horford,Joe Johnson,Josh Smith,Maurice Evans,Mike Bibby,1,10:53,NJN,shot,Brook Lopez,,,,,,,,,Trenton Hassell,2,,,made,,layup,23,6
