a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,12:00,OFF,jump ball,,Emeka Okafor,,,Erick Dampier,,,,,,,Jason Kidd,,,,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:43,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,jump hook,31,16
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:41,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:24,NOH,turnover,,,,,,,,,,David West,,,lost ball,,Dirk Nowitzki,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:15,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,16,30
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:14,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,11:05,NOH,shot,Chris Paul,,,,,,,,,David West,2,,,made,,jump,8,15
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:56,DAL,shot,Jose Juan Barea,,,,,,,,,Erick Dampier,2,,,made,,layup,25,6
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:41,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,11,12
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:40,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:36,NOH,foul,,,,,,,,Erick Dampier,,David West,,,,,,personal,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:27,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,10,19
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:02,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,jump,12,22
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,10:00,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:48,NOH,violation,,,,,,,,,,Emeka Okafor,,,,,,defensive goaltending,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:48,DAL,shot,,,,,,,,,,Jose Juan Barea,2,,,made,,driving layup,25,6
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:32,NOH,shot,Peja Stojakovic,,,,,,,,,Devin Brown,3,,,made,,3pt,19,31
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:22,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,jump,18,26
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:21,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:12,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,41,12
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,9:10,DAL,rebound,,,,,,,,,,Jose Juan Barea,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:54,DAL,shot,,,,,,,,,,Jason Kidd,,,,missed,,3pt,29,31
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:50,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:36,NOH,turnover,,,,,,,,,,Emeka Okafor,,,bad pass,,Jason Kidd,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:30,DAL,shot,Jason Kidd,,,,,,,,,Jose Juan Barea,2,,,made,,driving layup,25,6
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,8:11,NOH,shot,Chris Paul,,,,,,,,,Devin Brown,3,,,made,,3pt,1,12
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:56,DAL,shot,Shawn Marion,,,,,,,,,Jason Kidd,3,,,made,,3pt,41,26
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:38,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,floating jump,33,21
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:29,NOH,foul,,,,,,,,Jose Juan Barea,,Emeka Okafor,,,,,,shooting,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:29,DAL,free throw,,,,,,,1,,2,Jose Juan Barea,,,foul,made,,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:29,DAL,free throw,,,,,,,2,,2,Jose Juan Barea,,,foul,made,,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,7:14,NOH,shot,Emeka Okafor,,,,,,,,,Peja Stojakovic,3,,,made,,3pt,43,24
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:57,DAL,shot,Jason Kidd,,,,,,,,,Erick Dampier,2,,,made,,jump hook,24,12
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:38,NOH,shot,,,Shawn Marion,,,,,,,Emeka Okafor,,,,missed,,jump,33,14
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:38,NOH,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:31,NOH,shot,,,,,,,,,,Devin Brown,,,,missed,,3pt,28,32
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:30,DAL,rebound,,,,,,,,,,Jose Juan Barea,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:26,DAL,shot,,,,,,,,,,Jose Juan Barea,2,,,made,,driving layup,25,6
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:10,NOH,shot,,,,,,,,,,Chris Paul,,,,missed,,driving layup,25,6
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,6:09,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:50,DAL,shot,,,,,,,,,,Jose Juan Barea,2,,,made,,step back jump,38,10
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:22,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,turnaround fade away,14,12
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:22,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:14,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,3pt,44,25
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:12,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,5:01,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,20,24
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:59,NOH,rebound,,,,,,,,,,Peja Stojakovic,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:54,NOH,shot,,,,,,,,,,Chris Paul,2,,,made,,pullup jump,30,24
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:48,DAL,timeout,,,,,,,,,,,,,,,,regular,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:38,DAL,shot,Dirk Nowitzki,,,,,,,,,Erick Dampier,2,,,made,,turnaround fade away,26,13
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:14,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump hook,30,11
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:13,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,4:05,DAL,shot,Jason Kidd,,,,,,,,,Jose Juan Barea,3,,,made,,3pt,41,26
Chris Paul,David West,Devin Brown,Emeka Okafor,Peja Stojakovic,Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,1,3:48,NOH,foul,,,,,,,,Jose Juan Barea,,Chris Paul,,,,,,offensive,,
