a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,12:00,OFF,jump ball,,Andrew Bynum,,,Joakim Noah,,,,,,,Derek Fisher,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:47,LAL,shot,,,Joakim Noah,,,,,,,Ron Artest,,,,missed,,layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:45,CHI,rebound,,,,,,,,,,John Salmons,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:35,CHI,shot,Brad Miller,,,,,,,,,Derrick Rose,2,,,made,,jump bank,21,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:14,LAL,shot,Derek Fisher,,,,,,,,,Andrew Bynum,2,,,made,,reverse dunk,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:59,CHI,shot,Brad Miller,,,,,,,,,Joakim Noah,2,,,made,,hook,27,11
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:45,LAL,shot,,,,,,,,,,Andrew Bynum,,,,missed,,jump,10,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:44,CHI,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:38,CHI,shot,,,,,,,,,,Derrick Rose,2,,,made,,jump,19,16
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:10,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,24,21
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:09,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:59,CHI,shot,Derrick Rose,,,,,,,,,Brad Miller,2,,,made,,driving layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:42,LAL,shot,,,Joakim Noah,,,,,,,Kobe Bryant,,,,missed,,reverse layup,25,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:40,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:30,LAL,shot,Ron Artest,,,,,,,,,Pau Gasol,2,,,made,,hook,19,10
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:14,CHI,shot,,,,,,,,,,Joakim Noah,,,,missed,,jump,32,18
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:13,CHI,rebound,,,,,,,,,,John Salmons,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,9:04,CHI,shot,Derrick Rose,,,,,,,,,Brad Miller,2,,,made,,jump,31,22
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,8:43,LAL,shot,,,,,,,,,,Kobe Bryant,,,,missed,,turnaround fade away,37,14
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,8:41,CHI,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,8:35,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,44,17
