a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,12:00,OFF,jump ball,,Erick Dampier,,,Jeff Green,,,,,,,Jason Kidd,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:37,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,3pt,26,30
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:36,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:16,OKC,shot,,,,,,,,,,Thabo Sefolosha,2,,,made,,jump,41,8
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,11:02,DAL,turnover,,,,,,,,,,Erick Dampier,,,traveling,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:48,OKC,foul,,,,,,,,Jose Juan Barea,,Russell Westbrook,,,,,,offensive,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:48,OKC,turnover,,,,,,,,,,Russell Westbrook,,,foul,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,10:26,DAL,shot,Shawn Marion,,,,,,,,,Jose Juan Barea,3,,,made,,3pt,23,30
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:58,OKC,shot,Thabo Sefolosha,,,,,,,,,Russell Westbrook,2,,,made,,jump bank,35,13
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:35,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,turnaround fade away,14,7
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:20,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,floating jump,19,11
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:02,OKC,foul,,,,,,,,Dirk Nowitzki,,Russell Westbrook,,,,,,shooting,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:02,DAL,free throw,,,,,,,1,,2,Dirk Nowitzki,,,foul,missed,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,1,9:02,DAL,rebound,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,9:02,OKC,sub,,,,Shaun Livingston,,Russell Westbrook,,,,,,,,,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,9:02,DAL,free throw,,,,,,,2,,2,Dirk Nowitzki,,,foul,made,,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:51,OKC,shot,Shaun Livingston,,,,,,,,,Kevin Durant,2,,,made,,jump,16,16
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:37,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,38,9
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:34,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:33,DAL,turnover,,,,,,,,,,Shawn Marion,,,bad pass,,Shaun Livingston,,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:29,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,layup,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:26,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:26,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,tip,25,6
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:22,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,off,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,8:20,OKC,shot,Kevin Durant,,,,,,,,,Jeff Green,3,,,made,,3pt,3,9
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,7:54,DAL,shot,,,,,,,,,,Jose Juan Barea,,,,missed,,jump,46,11
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,7:54,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Dirk Nowitzki,Erick Dampier,Jason Kidd,Jose Juan Barea,Shawn Marion,Jeff Green,Kevin Durant,Nenad Krstic,Shaun Livingston,Thabo Sefolosha,1,7:38,OKC,shot,Thabo Sefolosha,,,,,,,,,Nenad Krstic,2,,,made,,jump,24,26
