a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,12:00,OFF,jump ball,,Josh Smith,,,Joakim Noah,,,,,,,Al Horford,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:42,ATL,turnover,,,,,,,,,,Al Horford,,,3 second violation,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:20,CHI,shot,,,,,,,,,,Joakim Noah,,,,missed,,hook,26,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:19,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:58,ATL,shot,,,,,,,,,,Mike Bibby,,,,missed,,3pt,47,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:55,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:50,ATL,shot,,,,,,,,,,Mike Bibby,2,,,made,,driving layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:25,CHI,shot,,,Marvin Williams,,,,,,,Luol Deng,,,,missed,,running jump,22,13
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:22,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:11,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:09,CHI,rebound,,,,,,,,,,Joakim Noah,,,,,,def,,
