a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,12:00,OFF,jump ball,,Spencer Hawes,,,Andrew Bogut,,,,,,,Ersan Ilyasova,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:46,MIL,shot,,,,,,,,,,Carlos Delfino,,,,missed,,jump,38,24
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:45,MIL,rebound,,,,,,,,,,Brandon Jennings,,,,,,off,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:41,MIL,shot,,,Jason Thompson,,,,,,,Ersan Ilyasova,,,,missed,,layup,25,6
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:39,SAC,rebound,,,,,,,,,,Tyreke Evans,,,,,,def,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:35,SAC,shot,,,,,,,,,,Andres Nocioni,,,,missed,,layup,25,6
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:34,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:31,SAC,shot,Spencer Hawes,,,,,,,,,Jason Thompson,2,,,made,,jump,11,4
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:14,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,hook,20,8
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:13,MIL,rebound,,,,,,,,,,Ersan Ilyasova,,,,,,off,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:13,MIL,shot,,,,,,,,,,Ersan Ilyasova,,,,missed,,dunk,25,6
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:11,MIL,rebound,,,,,,,,,,Luc Richard Mbah a Moute,,,,,,off,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,11:11,MIL,shot,,,,,,,,,,Luc Richard Mbah a Moute,2,,,made,,a moute layup,25,6
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:55,SAC,turnover,,,,,,,,,,Tyreke Evans,,,bad pass,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:43,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,hook,28,10
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:42,SAC,rebound,,,,,,,,,,Omri Casspi,,,,,,def,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:34,SAC,turnover,,,,,,,,,,Tyreke Evans,,,lost ball,,Luc Richard Mbah a Moute,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:30,SAC,foul,,,,,,,,Luc Richard Mbah a Moute,,Andres Nocioni,,,,,,shooting,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Andrew Bogut,Brandon Jennings,Carlos Delfino,Ersan Ilyasova,Luc Richard Mbah a Moute,1,10:30,MIL,free throw,,,,,,,1,,2,Luc Richard Mbah a Moute,,,foul,made,,,,
