a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,12:00,OFF,jump ball,,Spencer Hawes,,,Joakim Noah,,,,,,,Jason Thompson,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:36,SAC,shot,,,,,,,,,,Jason Thompson,,,,missed,,jump,36,21
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:36,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:21,CHI,shot,,,Spencer Hawes,,,,,,,Joakim Noah,,,,missed,,layup,25,6
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:21,CHI,jump ball,,Spencer Hawes,,,Joakim Noah,,,,,,,Brad Miller,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:21,CHI,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,11:13,CHI,shot,,,,,,,,,,Luol Deng,2,,,made,,jump,44,17
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:57,SAC,shot,,,John Salmons,,,,,,,Omri Casspi,,,,missed,,jump,22,13
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:57,SAC,rebound,,,,,,,,,,,,,,,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:49,SAC,shot,Jason Thompson,,,,,,,,,Andres Nocioni,2,,,made,,running jump,25,14
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:49,CHI,foul,,,,,,,,Andres Nocioni,,Brad Miller,,,,,,shooting,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:49,SAC,free throw,,,,,,,1,,1,Andres Nocioni,,,foul,made,,,,
Andres Nocioni,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Brad Miller,Derrick Rose,Joakim Noah,John Salmons,Luol Deng,1,10:30,CHI,shot,,,,,,,,,,Joakim Noah,2,,,made,,jump bank,31,8
