a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Brendan Haywood,,,,,,,Thaddeus Young,,,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:36,PHI,turnover,,,,,,,,,,Jrue Holiday,,,bad pass,,Caron Butler,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:13,WAS,shot,Caron Butler,,,,,,,,,Gilbert Arenas,3,,,made,,3pt,48,19
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:53,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,jump,42,2
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:52,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:33,WAS,shot,Antawn Jamison,,,,,,,,,Gilbert Arenas,2,,,made,,jump,44,14
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:14,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump,40,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:13,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:58,WAS,shot,Brendan Haywood,,,,,,,,,Gilbert Arenas,2,,,made,,running bank,43,9
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:37,PHI,turnover,,,,,,,,,,Andre Iguodala,,,bad pass,,Randy Foye,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:28,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,40,7
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:27,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:22,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,finger roll layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,9:06,WAS,shot,Brendan Haywood,,,,,,,,,Caron Butler,2,,,made,,jump,45,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:44,PHI,turnover,,,,,,,,,,Thaddeus Young,,,lost ball,,Randy Foye,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:33,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,14,3
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:30,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:23,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,3pt,36,29
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:22,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:13,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,3pt,4,18
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,8:12,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,7:53,PHI,shot,,,,,,,,,,Willie Green,2,,,made,,fade away jumper,39,14
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,7:30,WAS,shot,,,,,,,,,,Randy Foye,3,,,made,,3pt,4,18
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,7:20,PHI,shot,,,,,,,,,,Jrue Holiday,2,,,made,,driving layup,26,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,7:07,PHI,foul,,,,,,,,,,Samuel Dalembert,,,,,,defense 3 second,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,7:07,WAS,free throw,,,,,,,1,,1,Caron Butler,,,technical,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:50,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,24,27
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:49,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:49,PHI,foul,,,,,,,,Antawn Jamison,,Samuel Dalembert,,,,,,shooting,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:49,WAS,free throw,,,,,,,1,,2,Antawn Jamison,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:49,WAS,free throw,,,,,,,2,,2,Antawn Jamison,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:32,PHI,shot,Samuel Dalembert,,,,,,,,,Willie Green,3,,,made,,3pt,25,32
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:06,PHI,violation,,,,,,,,,,Samuel Dalembert,,,,,,defensive goaltending,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,6:06,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,floating jump,22,8
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:49,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,25,16
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:48,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:37,WAS,shot,Antawn Jamison,,,,,,,,,Randy Foye,2,,,made,,driving layup,25,6
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:37,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:17,WAS,foul,,,,,,,,Samuel Dalembert,,Antawn Jamison,,,,,,shooting,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:17,PHI,free throw,,,,,,,1,,2,Samuel Dalembert,,,foul,made,,,,
Andre Iguodala,Jrue Holiday,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:17,PHI,free throw,,,,,,,2,,2,Samuel Dalembert,,,foul,made,,,,
Andre Iguodala,Lou Williams,Samuel Dalembert,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:12,PHI,sub,,,,Lou Williams,,Jrue Holiday,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:12,PHI,sub,,,,Elton Brand,,Samuel Dalembert,,,,,,,,,,,,
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:02,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,5,14
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,5:01,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,4:48,PHI,shot,,,,,,,,,,Thaddeus Young,,,,missed,,jump,6,6
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,4:47,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,4:36,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,jump,14,11
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,4:35,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Andre Iguodala,Elton Brand,Lou Williams,Thaddeus Young,Willie Green,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,4:27,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,24,20
