a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,LaMarcus Aldridge,,,Tim Duncan,,,,,,,Andre Miller,,,,,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:43,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,turnaround jump,32,11
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:24,SAS,shot,Tim Duncan,,,,,,,,,Richard Jefferson,2,,,made,,alley oop layup,29,8
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:07,SAS,foul,,,,,,,,Martell Webster,,Richard Jefferson,,,,,,shooting,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:07,POR,free throw,,,,,,,1,,2,Martell Webster,,,foul,made,,,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:07,POR,free throw,,,,,,,2,,2,Martell Webster,,,foul,made,,,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:50,SAS,shot,Tony Parker,,,,,,,,,Richard Jefferson,2,,,made,,alley oop dunk,24,8
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:49,SAS,foul,,,,,,,,,,Richard Jefferson,,,,,,technical,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:49,POR,free throw,,,,,,,1,,1,Martell Webster,,,technical,made,,,,
Andre Miller,Jerryd Bayless,Juwan Howard,LaMarcus Aldridge,Martell Webster,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:34,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,39,14
