a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,12:00,OFF,jump ball,,Josh Smith,,,Roy Hibbert,,,,,,,Al Horford,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:36,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,41,5
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:35,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:18,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,28,10
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:17,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:15,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,tip,24,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:14,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,11:06,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,layup,26,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:52,IND,shot,,,,,,,,,,Earl Watson,,,,missed,,jump,16,20
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:51,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:42,ATL,shot,Mike Bibby,,,,,,,,,Josh Smith,2,,,made,,layup,23,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:34,IND,turnover,,,,,,,,,,Mike Dunleavy,,,bad pass,,Josh Smith,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:30,ATL,shot,,,,,,,,,,Josh Smith,2,,,made,,dunk,25,4
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Dahntay Jones,Earl Watson,Mike Dunleavy,Roy Hibbert,Troy Murphy,1,10:16,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,38,22
