a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Andris Biedrins,,,,,,,Kevin Garnett,,,,,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,11:34,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,turnaround jump,13,10
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,11:33,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,11:13,GSW,shot,Andris Biedrins,,,,,,,,,Monta Ellis,2,,,made,,pullup jump,40,16
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:58,BOS,turnover,,,,,,,,,,Rajon Rondo,,,lost ball,,Stephen Curry,,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:53,GSW,shot,,,Tony Allen,,,,,,,Anthony Randolph,,,,missed,,layup,24,7
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:48,BOS,rebound,,,,,,,,,,Tony Allen,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:42,BOS,shot,Kendrick Perkins,,,,,,,,,Kevin Garnett,2,,,made,,layup,25,8
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:32,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,12,24
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:31,BOS,rebound,,,,,,,,,,Kendrick Perkins,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:22,BOS,turnover,,,,,,,,,,Kevin Garnett,,,bad pass,,Corey Maggette,,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:10,GSW,shot,,,Kendrick Perkins,,,,,,,Stephen Curry,,,,missed,,jump,24,9
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:09,GSW,rebound,,,,,,,,,,Anthony Randolph,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:05,GSW,shot,,,Kendrick Perkins,,,,,,,Anthony Randolph,,,,missed,,layup,26,7
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:03,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,10:00,BOS,shot,Kevin Garnett,,,,,,,,,Ray Allen,2,,,made,,driving layup,23,9
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:46,BOS,foul,,,,,,,,Corey Maggette,,Tony Allen,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:46,GSW,free throw,,,,,,,1,,2,Corey Maggette,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:46,GSW,free throw,,,,,,,2,,2,Corey Maggette,,,foul,made,,,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:38,BOS,shot,Rajon Rondo,,,,,,,,,Ray Allen,2,,,made,,pullup jump,14,23
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:18,GSW,shot,,,,,,,,,,Andris Biedrins,,,,missed,,jump,24,20
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:17,BOS,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,9:10,BOS,shot,,,,,,,,,,Rajon Rondo,2,,,made,,jump,16,15
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:56,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,44,9
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:55,BOS,rebound,,,,,,,,,,Ray Allen,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:48,BOS,shot,,,,,,,,,,Ray Allen,,,,missed,,3pt,34,30
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:47,GSW,rebound,,,,,,,,,,Anthony Randolph,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:37,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,2,22
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:36,BOS,rebound,,,,,,,,,,Tony Allen,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:21,BOS,shot,,,,,,,,,,Kevin Garnett,,,,missed,,jump,19,15
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:20,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:16,BOS,foul,,,,,,,,Corey Maggette,,Ray Allen,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Rajon Rondo,Ray Allen,Tony Allen,Andris Biedrins,Anthony Randolph,Corey Maggette,Monta Ellis,Stephen Curry,1,8:16,GSW,free throw,,,,,,,1,,2,Corey Maggette,,,foul,made,,,,
