a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,12:00,OFF,jump ball,,Jeff Green,,,Brook Lopez,,,,,,,Trenton Hassell,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:45,OKC,foul,,,,,,,,Devin Harris,,Russell Westbrook,,,,,,personal,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:38,NJN,shot,Devin Harris,,,,,,,,,Yi Jianlian,2,,,made,,running hook,18,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:22,OKC,shot,Thabo Sefolosha,,,,,,,,,Jeff Green,2,,,made,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:08,NJN,shot,,,,,,,,,,Yi Jianlian,,,,missed,,turnaround jump,33,13
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,11:07,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:52,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump bank,17,9
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:51,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:38,NJN,shot,Courtney Lee,,,,,,,,,Trenton Hassell,2,,,made,,jump,17,24
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Brook Lopez,Courtney Lee,Devin Harris,Trenton Hassell,Yi Jianlian,1,10:21,OKC,shot,Thabo Sefolosha,,,,,,,,,Jeff Green,2,,,made,,jump,9,6
