a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,12:00,OFF,jump ball,,Jeff Green,,,Brendan Haywood,,,,,,,Antawn Jamison,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:39,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,44,14
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:38,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:26,OKC,shot,,,Gilbert Arenas,,,,,,,Russell Westbrook,,,,missed,,jump,30,7
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:25,WAS,rebound,,,,,,,,,,Randy Foye,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:15,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,21,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,11:13,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:58,OKC,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,7,2
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:57,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:48,WAS,shot,Gilbert Arenas,,,,,,,,,Brendan Haywood,2,,,made,,dunk,24,4
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:21,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,9,15
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:21,WAS,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:08,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,3pt,14,29
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:07,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Antawn Jamison,Brendan Haywood,Caron Butler,Gilbert Arenas,Randy Foye,1,10:00,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,jump,30,7
