a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,12:00,OFF,jump ball,,Al Jefferson,,,Roy Hibbert,,,,,,,Kevin Love,,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:37,MIN,shot,,,,,,,,,,Jonny Flynn,,,,missed,,3pt,27,31
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:37,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:28,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,jump,26,26
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:28,MIN,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:17,IND,foul,,,,,,,,Damien Wilkins,,Luther Head,,,,,,personal,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:05,MIN,shot,,,,,,,,,,Damien Wilkins,2,,,made,,jump bank,31,11
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:48,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,hook,23,11
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Earl Watson,Josh McRoberts,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:36,IND,foul,,,,,,,,Damien Wilkins,,Luther Head,,,,,,personal,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Kevin Love,Brandon Rush,Earl Watson,Josh McRoberts,Mike Dunleavy,Roy Hibbert,1,10:36,IND,sub,,,,Brandon Rush,,Luther Head,,,,,,,,,,,,
