a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,12:00,OFF,jump ball,,Dwight Howard,,,Roy Hibbert,,,,,,,Jameer Nelson,,,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:46,IND,foul,,,,,,,,Rashard Lewis,,Dahntay Jones,,,,,,personal,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:29,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,3pt,38,28
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:27,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:24,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,layup,27,8
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,11:09,IND,shot,Mike Dunleavy,,,,,,,,,Roy Hibbert,2,,,made,,jump bank,29,9
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:55,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,3pt,38,28
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:52,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,off,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:38,ORL,turnover,,,,,,,,,,Dwight Howard,,,bad pass,,,,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:24,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,turnaround fade away,38,7
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:22,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:15,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,3pt,48,17
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:14,IND,rebound,,,,,,,,,,Roy Hibbert,,,,,,def,,
Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,Dahntay Jones,Earl Watson,Luther Head,Mike Dunleavy,Roy Hibbert,1,10:04,IND,shot,,,Dwight Howard,,,,,,,Luther Head,,,,missed,,layup,27,8
