a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Chris Bosh,,,Dwight Howard,,,,,,,Rashard Lewis,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:46,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,45,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:45,TOR,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:31,TOR,shot,,,Dwight Howard,,,,,,,Andrea Bargnani,,,,missed,,layup,25,6
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:30,ORL,rebound,,,,,,,,,,,,,,,,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:14,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,hook,21,13
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:58,TOR,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,jump,17,25
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:57,ORL,rebound,,,,,,,,,,Vince Carter,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:40,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,jump,39,9
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:27,TOR,shot,,,,,,,,,,Andrea Bargnani,,,,missed,,jump,18,21
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:25,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:17,ORL,turnover,,,,,,,,,,Rashard Lewis,,,lost ball,,Chris Bosh,,,
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:57,TOR,shot,,,,,,,,,,Jarrett Jack,2,,,made,,floating jump,29,12
Andrea Bargnani,Chris Bosh,DeMar DeRozan,Hedo Turkoglu,Jarrett Jack,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,9:45,TOR,foul,,,,,,,,,,Chris Bosh,,,,,,defense 3 second,,
