a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,12:00,OFF,jump ball,,Spencer Hawes,,,Anthony Randolph,,,,,,,Stephen Curry,,,,,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:49,GSW,shot,,,,,,,,,,Stephen Curry,2,,,made,,pullup jump,12,10
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:30,SAC,shot,,,Ronny Turiaf,,,,,,,Jason Thompson,,,,missed,,running jump,28,7
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:28,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:24,SAC,foul,,,,,,,,Monta Ellis,,Tyreke Evans,,,,,,personal,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:16,SAC,foul,,,,,,,,Ronny Turiaf,,Spencer Hawes,,,,,,shooting,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:16,GSW,free throw,,,,,,,1,,2,Ronny Turiaf,,,foul,made,,,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,11:16,GSW,free throw,,,,,,,2,,2,Ronny Turiaf,,,foul,made,,,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:57,GSW,foul,,,,,,,,,,Ronny Turiaf,,,,,,defense 3 second,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:57,SAC,free throw,,,,,,,1,,1,Tyreke Evans,,,technical,made,,,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:47,SAC,turnover,,,,,,,,,,Tyreke Evans,,,bad pass,,Ronny Turiaf,,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:40,GSW,shot,,,Jason Thompson,,,,,,,Monta Ellis,,,,missed,,jump,25,10
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:39,SAC,rebound,,,,,,,,,,Ime Udoka,,,,,,def,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:30,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,jump,11,8
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:28,GSW,rebound,,,,,,,,,,Anthony Randolph,,,,,,def,,
Ime Udoka,Jason Thompson,Omri Casspi,Spencer Hawes,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:23,SAC,foul,,,,,,,,Anthony Randolph,,Spencer Hawes,,,,,,shooting,,
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:23,SAC,sub,,,,Jon Brockman,,Spencer Hawes,,,,,,,,,,,,
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:23,GSW,free throw,,,,,,,1,,2,Anthony Randolph,,,foul,made,,,,
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:23,GSW,free throw,,,,,,,2,,2,Anthony Randolph,,,foul,made,,,,
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:14,SAC,shot,Jason Thompson,,,,,,,,,Ime Udoka,3,,,made,,3pt,41,25
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:01,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,25,26
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:01,GSW,rebound,,,,,,,,,,,,,,,,,,
Ime Udoka,Jason Thompson,Jon Brockman,Omri Casspi,Tyreke Evans,Anthony Randolph,Corey Maggette,Monta Ellis,Ronny Turiaf,Stephen Curry,1,10:01,SAC,foul,,,,,,,,Ronny Turiaf,,Jon Brockman,,,,,,loose ball,,
