a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Marcus Camby,,,,,,,Michael Beasley,,,,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:40,MIA,turnover,,,,,,,,,,Michael Beasley,,,lost ball,,Marcus Camby,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:34,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:14,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,10,30
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:13,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:04,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,38,16
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,11:03,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:49,MIA,shot,Quentin Richardson,,,,,,,,,Dwyane Wade,2,,,made,,floating jump,32,7
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:30,LAC,shot,,,Jermaine O'Neal,,,,,,,Chris Kaman,,,,missed,,layup,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,1,10:27,MIA,rebound,,,,,,,,,,Rafer Alston,,,,,,def,,
