a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Andrew Bynum,,,Tim Duncan,,,,,,,Tony Parker,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:41,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,turnaround jump,38,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:21,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,turnaround bank,30,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:20,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:10,SAS,shot,,,,,,,,,,Keith Bogans,,,,missed,,3pt,8,24
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,11:09,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:53,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,3pt,7,22
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:52,SAS,rebound,,,,,,,,,,Keith Bogans,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:37,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,pullup jump,38,17
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:36,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:23,LAL,shot,Lamar Odom,,,,,,,,,Andrew Bynum,2,,,made,,layup,24,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:23,SAS,foul,,,,,,,,Andrew Bynum,,Tim Duncan,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:23,LAL,free throw,,,,,,,1,,1,Andrew Bynum,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,10:08,SAS,shot,Keith Bogans,,,,,,,,,Richard Jefferson,2,,,made,,jump,42,17
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:51,LAL,shot,Lamar Odom,,,,,,,,,Derek Fisher,2,,,made,,jump,40,21
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:30,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,41,18
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:29,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,9:21,LAL,shot,Lamar Odom,,,,,,,,,Andrew Bynum,2,,,made,,jump,28,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,8:59,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,jump,41,21
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,8:58,SAS,rebound,,,,,,,,,,Keith Bogans,,,,,,off,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,8:54,SAS,shot,,,,,,,,,,DeJuan Blair,,,,missed,,jump,16,6
Andrew Bynum,Derek Fisher,Kobe Bryant,Lamar Odom,Ron Artest,DeJuan Blair,Keith Bogans,Richard Jefferson,Tim Duncan,Tony Parker,1,8:53,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
