a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,12:00,OFF,jump ball,,Brook Lopez,,,Mehmet Okur,,,,,,,Ronnie Brewer,,,,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:45,UTA,turnover,,,,,,,,,,Carlos Boozer,,,bad pass,,Yi Jianlian,,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:31,NJN,shot,,,,,,,,,,Courtney Lee,,,,missed,,jump,16,25
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:30,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:22,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,10,4
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:20,NJN,rebound,,,,,,,,,,Courtney Lee,,,,,,def,,
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,11:12,NJN,shot,Courtney Lee,,,,,,,,,Brook Lopez,2,,,made,,fade away jumper,20,16
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:47,UTA,shot,,,,,,,,,,Mehmet Okur,2,,,made,,jump,25,9
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:26,NJN,shot,,,,,,,,,,Keyon Dooling,,,,missed,,3pt,32,30
Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,1,10:24,UTA,rebound,,,,,,,,,,Deron Williams,,,,,,def,,
