a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,12:00,OFF,jump ball,,Marcus Camby,,,Brendan Haywood,,,,,,,Randy Foye,,,,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,11:42,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,45,5
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,11:41,LAC,rebound,,,,,,,,,,Rasual Butler,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,11:33,WAS,foul,,,,,,,,Baron Davis,,Randy Foye,,,,,,personal,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,11:20,LAC,shot,Baron Davis,,,,,,,,,Rasual Butler,3,,,made,,3pt,8,23
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,11:05,WAS,shot,,,,,,,,,,Randy Foye,2,,,made,,running jump,22,25
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:43,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,running hook,25,13
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:29,WAS,shot,Randy Foye,,,,,,,,,DeShawn Stevenson,2,,,made,,jump,7,12
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:29,LAC,foul,,,,,,,,DeShawn Stevenson,,Al Thornton,,,,,,shooting,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:29,WAS,free throw,,,,,,,1,,1,DeShawn Stevenson,,,foul,made,,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:16,LAC,shot,,,,,,,,,,Marcus Camby,,,,missed,,jump,42,3
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:15,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:05,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,19,8
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:03,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,10:01,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,putback layup,23,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:46,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,jump,8,13
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:46,LAC,rebound,,,,,,,,,,,,,,,,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:46,WAS,foul,,,,,,,,Marcus Camby,,Antawn Jamison,,,,,,loose ball,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:28,LAC,shot,Marcus Camby,,,,,,,,,Al Thornton,2,,,made,,layup,25,5
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:12,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,6,9
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,9:11,LAC,rebound,,,,,,,,,,Rasual Butler,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:55,LAC,shot,Rasual Butler,,,,,,,,,Al Thornton,2,,,made,,fade away jumper,43,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:43,WAS,turnover,,,,,,,,,,Randy Foye,,,bad pass,,Baron Davis,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:36,LAC,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,26,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:35,WAS,timeout,,,,,,,,,,,,,,,,regular,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:17,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,hook,25,11
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:08,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,jump,23,11
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,8:06,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:59,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,30,7
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:58,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:48,LAC,shot,,,,,,,,,,Marcus Camby,,,,missed,,jump,21,5
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:47,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:39,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,9,2
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:38,LAC,rebound,,,,,,,,,,Al Thornton,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:30,LAC,shot,Baron Davis,,,,,,,,,Chris Kaman,2,,,made,,hook,26,6
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,7:10,WAS,shot,Caron Butler,,,,,,,,,DeShawn Stevenson,2,,,made,,jump,5,9
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:49,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,3pt,50,11
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:47,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:33,WAS,turnover,,,,,,,,,,Brendan Haywood,,,lost ball,,Al Thornton,,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:29,LAC,foul,,,,,,,,Randy Foye,,Al Thornton,,,,,,offensive,,
Al Thornton,Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:29,LAC,turnover,,,,,,,,,,Al Thornton,,,foul,,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:29,LAC,sub,,,,Ricky Davis,,Al Thornton,,,,,,,,,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:17,WAS,shot,,,Baron Davis,,,,,,,Randy Foye,,,,missed,,jump,23,9
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:14,WAS,rebound,,,,,,,,,,Randy Foye,,,,,,off,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:11,WAS,turnover,,,,,,,,,,Antawn Jamison,,,bad pass,,Chris Kaman,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,6:05,LAC,shot,Rasual Butler,,,,,,,,,Baron Davis,2,,,made,,layup,25,6
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,5:47,WAS,shot,,,,,,,,,,Caron Butler,2,,,made,,fade away bank,42,6
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,5:24,LAC,shot,Ricky Davis,,,,,,,,,Marcus Camby,2,,,made,,jump,44,5
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,5:07,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,8,4
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,5:06,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:59,LAC,shot,,,,,,,,,,Ricky Davis,,,,missed,,3pt,2,5
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:58,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:45,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,3pt,47,19
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:44,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:43,WAS,shot,,,Marcus Camby,,,,,,,Antawn Jamison,,,,missed,,jump,22,8
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:43,WAS,rebound,,,,,,,,,,,,,,,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:35,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,jump,43,10
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:33,LAC,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:32,WAS,foul,,,,,,,,Ricky Davis,,DeShawn Stevenson,,,,,,shooting,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:32,LAC,free throw,,,,,,,1,,2,Ricky Davis,,,foul,missed,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Randy Foye,1,4:32,LAC,rebound,,,,,,,,,,,,,,,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,4:32,WAS,sub,,,,Mike Miller,,DeShawn Stevenson,,,,,,,,,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,4:32,LAC,free throw,,,,,,,2,,2,Ricky Davis,,,foul,made,,,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,4:11,WAS,shot,,,Marcus Camby,,,,,,,Caron Butler,,,,missed,,jump,24,10
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,4:08,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Baron Davis,Chris Kaman,Marcus Camby,Rasual Butler,Ricky Davis,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,4:06,WAS,shot,,,Marcus Camby,,,,,,,Antawn Jamison,,,,missed,,jump,23,9
