a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,12:00,OFF,jump ball,,Emeka Okafor,,,LaMarcus Aldridge,,,,,,,Marcus Thornton,,,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:44,NOH,shot,,,,,,,,,,Marcus Thornton,2,,,made,,driving jump,28,9
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:22,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,turnaround jump,16,10
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:21,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:07,NOH,shot,,,,,,,,,,David West,2,,,made,,layup,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:07,POR,foul,,,,,,,,David West,,LaMarcus Aldridge,,,,,,shooting,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,11:07,NOH,free throw,,,,,,,1,,1,David West,,,foul,made,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:55,POR,shot,Martell Webster,,,,,,,,,Jeff Pendergraph,2,,,made,,driving slam dunk,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:35,NOH,shot,Chris Paul,,,,,,,,,Emeka Okafor,2,,,made,,slam dunk,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:18,POR,shot,Martell Webster,,,,,,,,,Steve Blake,2,,,made,,pullup jump,40,7
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:04,NOH,shot,,,Jeff Pendergraph,,,,,,,Emeka Okafor,,,,missed,,layup,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:02,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,10:01,NOH,shot,,,,,,,,,,Emeka Okafor,2,,,made,,jump,25,9
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:42,POR,shot,LaMarcus Aldridge,,,,,,,,,Steve Blake,2,,,made,,fade away jumper,45,9
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:24,NOH,shot,,,,,,,,,,Marcus Thornton,2,,,made,,pullup jump,18,27
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:19,POR,shot,Andre Miller,,,,,,,,,LaMarcus Aldridge,2,,,made,,dunk,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,9:05,NOH,shot,Marcus Thornton,,,,,,,,,David West,2,,,made,,jump,6,12
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:38,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,22,28
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:37,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:23,POR,foul,,,,,,,,Peja Stojakovic,,Steve Blake,,,,,,personal,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:16,NOH,shot,,,,,,,,,,David West,,,,missed,,hook,22,14
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:14,POR,rebound,,,,,,,,,,Jeff Pendergraph,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:02,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,41,13
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,8:02,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:50,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,jump,34,22
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:48,POR,rebound,,,,,,,,,,Jeff Pendergraph,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:36,POR,shot,,,David West,,,,,,,Jeff Pendergraph,,,,missed,,dunk,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:34,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:30,NOH,shot,Chris Paul,,,,,,,,,Marcus Thornton,2,,,made,,alley oop dunk,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:25,POR,timeout,,,,,,,,,,,,,,,,regular,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:15,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,driving layup,25,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:13,NOH,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:09,POR,foul,,,,,,,,David West,,Steve Blake,,,,,,shooting,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Steve Blake,1,7:09,NOH,free throw,,,,,,,1,,2,David West,,,foul,made,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,7:09,POR,sub,,,,Rudy Fernandez,,Steve Blake,,,,,,,,,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,7:09,NOH,free throw,,,,,,,2,,2,David West,,,foul,made,,,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:58,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,jump,17,26
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:56,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:42,NOH,shot,,,,,,,,,,David West,2,,,made,,step back jump,35,6
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:21,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,turnaround jump,33,13
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:20,NOH,rebound,,,,,,,,,,Marcus Thornton,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,6:04,NOH,shot,Chris Paul,,,,,,,,,Marcus Thornton,3,,,made,,3pt,5,21
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,5:35,POR,shot,,,,,,,,,,Martell Webster,,,,missed,,running bank,32,9
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,5:34,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,Andre Miller,Jeff Pendergraph,LaMarcus Aldridge,Martell Webster,Rudy Fernandez,1,5:25,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,29,27
