a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,12:00,OFF,jump ball,,Al Jefferson,,,Jared Jeffries,,,,,,,Ryan Gomes,,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:38,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,9,4
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:35,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:28,NYK,shot,,,,,,,,,,David Lee,2,,,made,,driving layup,25,6
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:28,MIN,foul,,,,,,,,David Lee,,Damien Wilkins,,,,,,shooting,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:28,NYK,free throw,,,,,,,1,,1,David Lee,,,foul,made,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:25,MIN,turnover,,,,,,,,,,Corey Brewer,,,bad pass,,Jared Jeffries,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:11,NYK,shot,,,,,,,,,,Wilson Chandler,2,,,made,,running jump,28,11
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,11:06,MIN,turnover,,,,,,,,,,Al Jefferson,,,bad pass,,,,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:57,NYK,shot,Chris Duhon,,,,,,,,,David Lee,2,,,made,,slam dunk,25,6
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:33,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,17,5
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:31,NYK,rebound,,,,,,,,,,Jared Jeffries,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,10:23,NYK,shot,David Lee,,,,,,,,,Danilo Gallinari,2,,,made,,jump,44,17
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:58,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,27,12
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:57,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:53,NYK,shot,,,,,,,,,,Wilson Chandler,,,,missed,,layup,25,6
Al Jefferson,Corey Brewer,Damien Wilkins,Jonny Flynn,Ryan Gomes,Chris Duhon,Danilo Gallinari,David Lee,Jared Jeffries,Wilson Chandler,1,9:52,NYK,rebound,,,,,,,,,,Wilson Chandler,,,,,,off,,
