a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,12:00,OFF,jump ball,,Brendan Haywood,,,Brook Lopez,,,,,,,Randy Foye,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,11:43,WAS,turnover,,,,,,,,,,Brendan Haywood,,,lost ball,,Courtney Lee,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,11:29,NJN,turnover,,,,,,,,,,Brook Lopez,,,bad pass,,Mike Miller,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,11:26,WAS,turnover,,,,,,,,,,Mike Miller,,,out of bounds lost ball turnover,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,11:07,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,,,,missed,,driving reverse layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,11:05,WAS,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,10:45,WAS,shot,Randy Foye,,,,,,,,,Brendan Haywood,2,,,made,,layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,10:18,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,running jump,40,9
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,10:04,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,3pt,12,28
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,10:02,NJN,rebound,,,,,,,,,,Chris Douglas-Roberts,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:45,NJN,shot,Yi Jianlian,,,,,,,,,Courtney Lee,2,,,made,,jump,25,21
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:27,WAS,shot,,,,,,,,,,Mike Miller,,,,missed,,3pt,38,27
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:26,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:24,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:24,NJN,foul,,,,,,,,Brendan Haywood,,Brook Lopez,,,,,,shooting,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:24,WAS,free throw,,,,,,,1,,1,Brendan Haywood,,,foul,made,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,9:04,NJN,shot,,,,,,,,,,Keyon Dooling,2,,,made,,jump,39,21
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:51,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,23,25
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:50,NJN,rebound,,,,,,,,,,Chris Douglas-Roberts,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:44,NJN,shot,,,,,,,,,,Chris Douglas-Roberts,,,,missed,,jump,36,21
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:43,NJN,rebound,,,,,,,,,,Yi Jianlian,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:42,NJN,shot,,,,,,,,,,Yi Jianlian,2,,,made,,putback layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:24,WAS,shot,Brendan Haywood,,,,,,,,,Randy Foye,2,,,made,,jump,9,19
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:07,NJN,shot,,,Caron Butler,,,,,,,Yi Jianlian,,,,missed,,driving layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:05,NJN,rebound,,,,,,,,,,Courtney Lee,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,8:01,NJN,shot,,,,,,,,,,Courtney Lee,2,,,made,,floating jump,24,13
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:34,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,41,8
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:32,NJN,rebound,,,,,,,,,,Chris Douglas-Roberts,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:22,NJN,shot,Keyon Dooling,,,,,,,,,Courtney Lee,2,,,made,,jump,14,15
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:21,WAS,timeout,,,,,,,,,,,,,,,,regular,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:04,WAS,shot,,,Brook Lopez,,,,,,,Caron Butler,,,,missed,,running jump,24,15
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,7:03,NJN,rebound,,,,,,,,,,Chris Douglas-Roberts,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,6:58,NJN,shot,Chris Douglas-Roberts,,,,,,,,,Courtney Lee,2,,,made,,driving layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,6:44,WAS,foul,,,,,,,,Brook Lopez,,Brendan Haywood,,,,,,offensive,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,6:44,WAS,turnover,,,,,,,,,,Brendan Haywood,,,foul,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,Brook Lopez,Chris Douglas-Roberts,Courtney Lee,Keyon Dooling,Yi Jianlian,1,6:36,NJN,shot,Keyon Dooling,,,,,,,,,Brook Lopez,2,,,made,,alley oop dunk,25,6
