a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Brendan Haywood,,,,,,,Randy Foye,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,11:46,WAS,shot,Randy Foye,,,,,,,,,Mike Miller,2,,,made,,jump,10,20
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,11:46,BOS,foul,,,,,,,,Mike Miller,,Ray Allen,,,,,,shooting,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,11:46,WAS,free throw,,,,,,,1,,1,Mike Miller,,,foul,missed,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,11:37,WAS,rebound,,,,,,,,,,Mike Miller,,,,,,off,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,11:24,WAS,shot,Randy Foye,,,,,,,,,Brendan Haywood,2,,,made,,jump hook,25,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,10:57,BOS,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,10:45,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,7,15
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,10:44,BOS,rebound,,,,,,,,,,Paul Pierce,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Antawn Jamison,Brendan Haywood,Caron Butler,Mike Miller,Randy Foye,1,10:33,BOS,shot,,,,,,,,,,Kendrick Perkins,,,,missed,,jump,34,8
