a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,12:00,OFF,jump ball,,Jeff Green,,,Emeka Okafor,,,,,,,Darren Collison,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:48,NOH,shot,,,,,,,,,,David West,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:47,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:33,OKC,shot,Nenad Krstic,,,,,,,,,Russell Westbrook,2,,,made,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:13,NOH,shot,,,,,,,,,,Peja Stojakovic,,,,missed,,3pt,46,20
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:12,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:08,OKC,shot,,,Marcus Thornton,,,,,,,Kevin Durant,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:08,OKC,rebound,,,,,,,,,,,,,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:05,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,jump,7,14
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,11:04,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:51,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,hook,16,9
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:50,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:31,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,10:01,NOH,shot,Darren Collison,,,,,,,,,Emeka Okafor,2,,,made,,hook,25,14
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,9:42,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,11,11
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,9:23,NOH,shot,,,,,,,,,,Marcus Thornton,,,,missed,,3pt,2,15
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,9:22,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,9:14,OKC,shot,Russell Westbrook,,,,,,,,,Jeff Green,3,,,made,,3pt,2,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,9:05,NOH,timeout,,,,,,,,,,,,,,,,short,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:58,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,37,7
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:57,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:39,OKC,turnover,,,,,,,,,,Nenad Krstic,,,lost ball,,Peja Stojakovic,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:33,NOH,shot,,,Kevin Durant,,,,,,,Darren Collison,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:32,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:28,OKC,shot,,,,,,,,,,Russell Westbrook,2,,,made,,jump,24,12
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:28,NOH,foul,,,,,,,,Russell Westbrook,,Marcus Thornton,,,,,,shooting,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:28,OKC,free throw,,,,,,,1,,1,Russell Westbrook,,,foul,made,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:09,NOH,shot,,,,,,,,,,Marcus Thornton,,,,missed,,3pt,33,30
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,8:08,OKC,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Darren Collison,David West,Emeka Okafor,Marcus Thornton,Peja Stojakovic,1,7:59,OKC,shot,Thabo Sefolosha,,,,,,,,,Nenad Krstic,2,,,made,,jump,9,9
