a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Luis Scola,,,,,,,Elton Brand,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:44,PHI,shot,,,,,,,,,,Elton Brand,2,,,made,,jump bank,22,14
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:28,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,44,6
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:26,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,off,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:24,HOU,shot,,,,,,,,,,Chuck Hayes,2,,,made,,layup,25,6
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,11:12,PHI,shot,Jrue Holiday,,,,,,,,,Elton Brand,2,,,made,,turnaround jump,10,7
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:57,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,3pt,3,21
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:55,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:36,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,3pt,40,29
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:34,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:33,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,layup,25,6
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,10:12,HOU,turnover,,,,,,,,,,Chuck Hayes,,,bad pass,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:57,PHI,shot,Willie Green,,,,,,,,,Jrue Holiday,3,,,made,,3pt,47,13
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:34,HOU,shot,,,,,,,,,,Aaron Brooks,,,,missed,,pullup jump,35,23
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:32,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:30,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,bad pass,,Trevor Ariza,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,Aaron Brooks,Chuck Hayes,Luis Scola,Shane Battier,Trevor Ariza,1,9:26,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,jump,8,15
