a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,12:00,OFF,jump ball,,Tim Duncan,,,Pau Gasol,,,,,,,Tony Parker,,,,,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:42,SAS,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,20,7
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:39,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,off,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:39,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,tip,25,6
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:37,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:32,LAL,turnover,,,,,,,,,,Lamar Odom,,,lost ball,,Tim Duncan,,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:24,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,floating jump,28,9
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:02,LAL,shot,,,,,,,,,,Shannon Brown,,,,missed,,driving layup,25,6
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,11:00,SAS,rebound,,,,,,,,,,George Hill,,,,,,def,,
Antonio McDyess,George Hill,Richard Jefferson,Tim Duncan,Tony Parker,Derek Fisher,Lamar Odom,Pau Gasol,Ron Artest,Shannon Brown,1,10:47,LAL,foul,,,,,,,,,,Pau Gasol,,,,,,defense 3 second,,
