a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,12:00,OFF,jump ball,,Jeff Green,,,LaMarcus Aldridge,,,,,,,Andre Miller,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,11:34,POR,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,11:19,OKC,shot,,,,,,,,,,Kevin Durant,2,,,made,,jump,7,14
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,11:01,POR,shot,,,,,,,,,,Juwan Howard,,,,missed,,jump,18,20
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,11:01,OKC,rebound,,,,,,,,,,Kevin Durant,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,10:51,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,3pt,2,5
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,10:50,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,10:47,POR,turnover,,,,,,,,,,Nicolas Batum,,,bad pass,,Thabo Sefolosha,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,10:41,OKC,shot,,,,,,,,,,Kevin Durant,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Andre Miller,Juwan Howard,LaMarcus Aldridge,Martell Webster,Nicolas Batum,1,10:40,POR,rebound,,,,,,,,,,Nicolas Batum,,,,,,def,,
