a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,12:00,OFF,jump ball,,Andris Biedrins,,,Andrew Bynum,,,,,,,Derek Fisher,,,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:49,LAL,shot,Ron Artest,,,,,,,,,Andrew Bynum,2,,,made,,hook,24,12
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:28,LAL,foul,,,,,,,,Anthony Morrow,,Pau Gasol,,,,,,shooting,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:28,GSW,free throw,,,,,,,1,,2,Anthony Morrow,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:28,GSW,free throw,,,,,,,2,,2,Anthony Morrow,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:04,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,6,24
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,11:04,LAL,rebound,,,,,,,,,,,,,,,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:59,LAL,shot,Ron Artest,,,,,,,,,Shannon Brown,2,,,made,,jump,13,20
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:40,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,3pt,13,29
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:39,LAL,rebound,,,,,,,,,,Derek Fisher,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:33,LAL,shot,,,,,,,,,,Derek Fisher,,,,missed,,jump,33,11
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:31,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:23,GSW,shot,Stephen Curry,,,,,,,,,Anthony Tolliver,2,,,made,,layup,25,6
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:10,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,jump,24,21
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:08,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,10:02,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,jump,15,25
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:59,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:50,GSW,foul,,,,,,,,Derek Fisher,,Stephen Curry,,,,,,shooting,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:50,LAL,free throw,,,,,,,1,,2,Derek Fisher,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:50,LAL,free throw,,,,,,,2,,2,Derek Fisher,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:37,GSW,turnover,,,,,,,,,,Corey Maggette,,,bad pass,,Andrew Bynum,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:30,LAL,shot,,,,,,,,,,Ron Artest,,,,missed,,3pt,42,27
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:28,LAL,rebound,,,,,,,,,,Pau Gasol,,,,,,off,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:27,LAL,shot,,,,,,,,,,Pau Gasol,,,,missed,,layup,25,6
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:26,LAL,rebound,,,,,,,,,,Andrew Bynum,,,,,,off,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:26,LAL,shot,,,,,,,,,,Andrew Bynum,2,,,made,,slam dunk,25,6
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:26,GSW,foul,,,,,,,,Andrew Bynum,,Anthony Tolliver,,,,,,shooting,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:26,LAL,free throw,,,,,,,1,,1,Andrew Bynum,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,9:12,GSW,shot,Stephen Curry,,,,,,,,,Anthony Tolliver,2,,,made,,jump,35,24
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:58,LAL,shot,Pau Gasol,,,,,,,,,Derek Fisher,2,,,made,,jump,28,25
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:51,LAL,foul,,,,,,,,Corey Maggette,,Shannon Brown,,,,,,shooting,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:51,GSW,free throw,,,,,,,1,,2,Corey Maggette,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:51,GSW,free throw,,,,,,,2,,2,Corey Maggette,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:26,LAL,shot,,,,,,,,,,Shannon Brown,,,,missed,,3pt,33,32
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:25,LAL,rebound,,,,,,,,,,Ron Artest,,,,,,off,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:17,GSW,foul,,,,,,,,Andrew Bynum,,Andris Biedrins,,,,,,shooting,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:17,LAL,free throw,,,,,,,1,,2,Andrew Bynum,,,foul,made,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:17,LAL,free throw,,,,,,,2,,2,Andrew Bynum,,,foul,missed,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:16,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:09,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,15,25
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:08,GSW,rebound,,,,,,,,,,,,,,,,,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,8:01,GSW,shot,Andris Biedrins,,,,,,,,,Anthony Tolliver,2,,,made,,jump,36,22
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,7:50,GSW,foul,,,,,,,,Pau Gasol,,Anthony Tolliver,,,,,,personal,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,7:43,LAL,shot,,,Anthony Tolliver,,,,,,,Pau Gasol,,,,missed,,layup,25,6
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,7:42,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,7:33,GSW,shot,Corey Maggette,,,,,,,,,Anthony Tolliver,3,,,made,,3pt,48,13
Andris Biedrins,Anthony Morrow,Anthony Tolliver,Corey Maggette,Stephen Curry,Andrew Bynum,Derek Fisher,Pau Gasol,Ron Artest,Shannon Brown,1,7:21,LAL,shot,Ron Artest,,,,,,,,,Andrew Bynum,2,,,made,,turnaround jump,27,11
