a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Samuel Dalembert,,,,,,,Elton Brand,,,,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,11:36,PHI,shot,Elton Brand,,,,,,,,,Samuel Dalembert,2,,,made,,dunk,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,11:13,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,35,7
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,11:13,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,11:03,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,19,20
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,11:01,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:51,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,25,14
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:50,MIA,rebound,,,,,,,,,,Rafer Alston,,,,,,def,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:41,MIA,shot,Dwyane Wade,,,,,,,,,Quentin Richardson,3,,,made,,3pt,3,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:16,PHI,shot,,,Michael Beasley,,,,,,,Samuel Dalembert,,,,missed,,jump,17,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:14,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,10:14,PHI,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:56,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,layup,25,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:56,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:55,PHI,foul,,,,,,,,Jermaine O'Neal,,Willie Green,,,,,,personal,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:45,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,31,11
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:44,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:37,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,3pt,7,24
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:35,PHI,rebound,,,,,,,,,,,,,,,,,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:26,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,36,24
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:24,PHI,rebound,,,,,,,,,,Jrue Holiday,,,,,,off,,
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:14,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,8,6
Dwyane Wade,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Rafer Alston,Andre Iguodala,Elton Brand,Jrue Holiday,Samuel Dalembert,Willie Green,1,9:13,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
