a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,12:00,OFF,jump ball,,Josh Smith,,,DeAndre Jordan,,,,,,,Steve Blake,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,11:44,LAC,shot,,,,,,,,,,Chris Kaman,2,,,made,,jump,11,19
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,11:23,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running jump,30,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,10:58,LAC,shot,Steve Blake,,,,,,,,,Chris Kaman,2,,,made,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,10:40,ATL,shot,Josh Smith,,,,,,,,,Mike Bibby,2,,,made,,step back jump,34,20
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,10:24,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,jump,37,23
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,10:22,ATL,rebound,,,,,,,,,,Marvin Williams,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,10:12,ATL,shot,Josh Smith,,,,,,,,,Al Horford,2,,,made,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:49,LAC,shot,,,,,,,,,,Steve Blake,,,,missed,,fade away jumper,39,10
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:47,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:44,LAC,foul,,,,,,,,Josh Smith,,DeAndre Jordan,,,,,,shooting,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:44,ATL,free throw,,,,,,,1,,2,Josh Smith,,,foul,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:44,ATL,free throw,,,,,,,2,,2,Josh Smith,,,foul,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:34,LAC,turnover,,,,,,,,,,Eric Gordon,,,bad pass,,Marvin Williams,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:30,ATL,shot,,,,,,,,,,Marvin Williams,2,,,made,,driving dunk,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:07,LAC,shot,,,,,,,,,,Rasual Butler,,,,missed,,3pt,50,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,9:06,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,8:57,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass,,Rasual Butler,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,8:51,ATL,foul,,,,,,,,Chris Kaman,,Joe Johnson,,,,,,shooting,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,8:51,LAC,free throw,,,,,,,1,,2,Chris Kaman,,,foul,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Chris Kaman,DeAndre Jordan,Eric Gordon,Rasual Butler,Steve Blake,1,8:51,LAC,free throw,,,,,,,2,,2,Chris Kaman,,,foul,missed,,,,
