a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,12:00,OFF,jump ball,,Nene Hilario,,,JaVale McGee,,,,,,,Randy Foye,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,11:43,WAS,shot,Randy Foye,,,,,,,,,Andray Blatche,2,,,made,,turnaround jump,27,11
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,11:24,DEN,shot,Chauncey Billups,,,,,,,,,Nene Hilario,2,,,made,,layup,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,11:08,WAS,shot,Randy Foye,,,,,,,,,Andray Blatche,2,,,made,,driving finger roll layup,26,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:55,WAS,foul,,,,,,,,Nene Hilario,,JaVale McGee,,,,,,shooting,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:55,DEN,free throw,,,,,,,1,,2,Nene Hilario,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:55,DEN,free throw,,,,,,,2,,2,Nene Hilario,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:39,WAS,shot,,,,,,,,,,JaVale McGee,,,,missed,,jump,21,8
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:39,DEN,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:26,DEN,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,turnaround fade away,12,5
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:03,WAS,shot,,,,,,,,,,Randy Foye,,,,missed,,jump,27,12
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:02,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Kenyon Martin,Nene Hilario,Andray Blatche,JaVale McGee,Josh Howard,Mike Miller,Randy Foye,1,10:00,WAS,shot,,,,,,,,,,Andray Blatche,,,,missed,,layup,25,3
