a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Andrei Kirilenko,,,Andris Biedrins,,,,,,,Stephen Curry,,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:44,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,jump,35,25
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:43,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:33,UTA,turnover,,,,,,,,,,Carlos Boozer,,,lost ball,,Corey Maggette,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:25,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,pullup jump,37,19
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:23,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:11,GSW,foul,,,,,,,,Andrei Kirilenko,,Anthony Morrow,,,,,,shooting,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:11,UTA,free throw,,,,,,,1,,2,Andrei Kirilenko,,,foul,made,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:11,UTA,free throw,,,,,,,2,,2,Andrei Kirilenko,,,foul,missed,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,11:10,GSW,rebound,,,,,,,,,,Anthony Morrow,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:52,GSW,shot,Monta Ellis,,,,,,,,,Stephen Curry,3,,,made,,3pt,2,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:38,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,fade away jumper,44,10
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:37,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:27,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,turnaround jump,12,7
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:25,UTA,rebound,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:14,UTA,shot,Andrei Kirilenko,,,,,,,,,Paul Millsap,2,,,made,,jump,23,21
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,10:05,GSW,turnover,,,,,,,,,,Monta Ellis,,,bad pass,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:47,UTA,shot,,,,,,,,,,Wesley Matthews,,,,missed,,3pt,11,27
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:46,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,off,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:44,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,jump hook,28,13
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:40,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass,,Andrei Kirilenko,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:37,GSW,foul,,,,,,,,Carlos Boozer,,Monta Ellis,,,,,,personal,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:37,UTA,free throw,,,,,,,1,,2,Carlos Boozer,,,foul,missed,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:37,UTA,rebound,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:37,UTA,free throw,,,,,,,2,,2,Carlos Boozer,,,foul,made,,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:27,GSW,shot,Monta Ellis,,,,,,,,,Corey Maggette,2,,,made,,jump bank,23,8
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:12,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,3pt,7,25
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:09,UTA,rebound,,,,,,,,,,Paul Millsap,,,,,,off,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:02,UTA,shot,,,,,,,,,,Andrei Kirilenko,,,,missed,,jump,30,8
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:01,GSW,rebound,,,,,,,,,,Monta Ellis,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,9:00,UTA,foul,,,,,,,,Monta Ellis,,Paul Millsap,,,,,,personal,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:53,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass,,Wesley Matthews,,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:47,UTA,shot,,,,,,,,,,Wesley Matthews,2,,,made,,driving layup,24,7
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:35,GSW,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,24,10
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:34,UTA,rebound,,,,,,,,,,Wesley Matthews,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:29,UTA,shot,Deron Williams,,,,,,,,,Carlos Boozer,2,,,made,,driving layup,25,5
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:28,GSW,timeout,,,,,,,,,,,,,,,,regular,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:14,GSW,shot,,,Paul Millsap,,,,,,,Corey Maggette,,,,missed,,layup,23,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:11,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,8:07,UTA,shot,Deron Williams,,,,,,,,,Paul Millsap,2,,,made,,driving layup,24,6
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,7:55,GSW,shot,Stephen Curry,,,,,,,,,Anthony Morrow,3,,,made,,3pt,37,28
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,7:34,UTA,shot,Carlos Boozer,,,,,,,,,Andrei Kirilenko,3,,,made,,3pt,14,30
Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Wesley Matthews,Andris Biedrins,Anthony Morrow,Corey Maggette,Monta Ellis,Stephen Curry,1,7:23,GSW,turnover,,,,,,,,,,Stephen Curry,,,palming turnover,,,,,
