a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Brendan Haywood,,,,,,,Carlos Arroyo,,,,,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:43,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,driving layup,25,6
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:40,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:30,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,43,13
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:07,MIA,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,41,12
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:49,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,9,17
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:29,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,13,16
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:28,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:20,DAL,shot,Dirk Nowitzki,,,,,,,,,Caron Butler,2,,,made,,jump,34,22
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:55,MIA,shot,,,,,,,,,,Dorell Wright,,,,missed,,3pt,36,27
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:54,DAL,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:39,DAL,shot,Jason Kidd,,,,,,,,,Caron Butler,2,,,made,,jump,8,9
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:32,MIA,timeout,,,,,,,,,,,,,,,,regular,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:22,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,jump,33,27
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:21,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,off,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:06,DAL,foul,,,,,,,,Dorell Wright,,Caron Butler,,,,,,personal,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:57,MIA,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,41,8
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:56,DAL,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:40,MIA,foul,,,,,,,,Shawn Marion,,Dorell Wright,,,,,,personal,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:32,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,34,23
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:13,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,2,7
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:12,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,off,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:11,MIA,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,driving layup,25,6
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:53,DAL,shot,,,,,,,,,,Brendan Haywood,,,,missed,,layup,25,6
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:52,DAL,rebound,,,,,,,,,,Brendan Haywood,,,,,,off,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:51,DAL,shot,,,Jermaine O'Neal,,,,,,,Brendan Haywood,,,,missed,,finger roll layup,25,6
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:50,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:38,MIA,shot,,,,,,,,,,Carlos Arroyo,,,,missed,,jump,35,19
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:37,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:30,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,turnaround jump,16,8
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:27,MIA,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:06,MIA,shot,,,,,,,,,,Carlos Arroyo,,,,missed,,jump,13,21
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:05,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:51,DAL,shot,Brendan Haywood,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,18,24
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:30,MIA,shot,Michael Beasley,,,,,,,,,Carlos Arroyo,2,,,made,,jump,45,12
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:15,DAL,shot,Brendan Haywood,,,,,,,,,Caron Butler,2,,,made,,jump,17,27
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:58,DAL,foul,,,,,,,,Michael Beasley,,Shawn Marion,,,,,,shooting,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:58,MIA,free throw,,,,,,,1,,2,Michael Beasley,,,foul,made,,,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:58,MIA,free throw,,,,,,,2,,2,Michael Beasley,,,foul,made,,,,
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:44,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,39,14
Carlos Arroyo,Dorell Wright,Jermaine O'Neal,Michael Beasley,Quentin Richardson,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:42,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
