a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Josh Smith,,,Andris Biedrins,,,,,,,Monta Ellis,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:44,GSW,turnover,,,,,,,,,,Anthony Tolliver,,,bad pass,,Joe Johnson,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:18,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,8,7
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:17,GSW,rebound,,,,,,,,,,Anthony Morrow,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:09,GSW,shot,,,,,,,,,,Anthony Morrow,2,,,made,,pullup jump,15,18
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:54,GSW,foul,,,,,,,,Josh Smith,,Anthony Tolliver,,,,,,shooting,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:54,ATL,free throw,,,,,,,1,,2,Josh Smith,,,foul,missed,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:54,ATL,rebound,,,,,,,,,,,,,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:54,ATL,free throw,,,,,,,2,,2,Josh Smith,,,foul,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:37,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,jump,14,21
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:35,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:24,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,turnaround fade away,19,15
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:23,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:07,GSW,shot,Andris Biedrins,,,,,,,,,Stephen Curry,2,,,made,,jump,11,22
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:46,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,driving layup,23,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:35,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,3pt,13,28
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:33,ATL,rebound,,,,,,,,,,Josh Smith,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:27,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:15,GSW,turnover,,,,,,,,,,Stephen Curry,,,bad pass,,Josh Smith,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,9:07,ATL,shot,,,Anthony Tolliver,,,,,,,Joe Johnson,,,,missed,,jump,29,9
