a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,12:00,OFF,jump ball,,Jeff Green,,,Ryan Hollins,,,,,,,Russell Westbrook,,,,,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,11:35,OKC,shot,,,Ryan Hollins,,,,,,,Russell Westbrook,,,,missed,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,11:34,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,11:31,MIN,shot,Jonny Flynn,,,,,,,,,Ryan Hollins,2,,,made,,slam dunk,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,11:03,OKC,shot,,,,,,,,,,Jeff Green,,,,missed,,3pt,3,7
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,11:03,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:57,OKC,shot,,,,,,,,,,Thabo Sefolosha,,,,missed,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:56,OKC,rebound,,,,,,,,,,Thabo Sefolosha,,,,,,off,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:55,OKC,shot,,,,,,,,,,Thabo Sefolosha,2,,,made,,layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:40,MIN,shot,,,,,,,,,,Corey Brewer,,,,missed,,jump,38,5
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:39,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:33,OKC,shot,,,,,,,,,,Jeff Green,2,,,made,,driving layup,25,6
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:13,MIN,shot,,,,,,,,,,Ryan Gomes,,,,missed,,3pt,33,30
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:13,OKC,rebound,,,,,,,,,,Jeff Green,,,,,,def,,
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,10:00,OKC,shot,,,,,,,,,,Kevin Durant,3,,,made,,3pt,11,28
Jeff Green,Kevin Durant,Nenad Krstic,Russell Westbrook,Thabo Sefolosha,Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,1,9:36,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,25,14
