a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,12:00,OFF,jump ball,,Ryan Hollins,,,Jermaine O'Neal,,,,,,,Al Jefferson,,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:36,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,turnaround hook,41,17
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:35,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:16,MIA,shot,,,,,,,,,,Quentin Richardson,,,,missed,,3pt,33,31
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:15,MIN,rebound,,,,,,,,,,Ryan Hollins,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:04,MIN,shot,,,Michael Beasley,,,,,,,Corey Brewer,,,,missed,,layup,25,6
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,11:02,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,10:45,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,jump,17,23
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,10:44,MIN,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,10:24,MIN,shot,,,,,,,,,,Corey Brewer,,,,missed,,3pt,40,26
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,10:23,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,10:13,MIA,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,jump,36,19
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:50,MIN,shot,,,,,,,,,,Ryan Hollins,2,,,made,,jump,26,13
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:40,MIA,turnover,,,,,,,,,,Carlos Arroyo,,,out of bounds lost ball turnover,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:24,MIN,turnover,,,,,,,,,,Jonny Flynn,,,bad pass,,Michael Beasley,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:14,MIA,turnover,,,,,,,,,,Jermaine O'Neal,,,lost ball,,Ryan Gomes,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:06,MIA,foul,,,,,,,,Ryan Hollins,,Michael Beasley,,,,,,shooting,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:06,MIN,free throw,,,,,,,1,,2,Ryan Hollins,,,foul,made,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,9:06,MIN,free throw,,,,,,,2,,2,Ryan Hollins,,,foul,made,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:57,MIN,foul,,,,,,,,,,Ryan Hollins,,,,,,defense 3 second,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:57,MIA,free throw,,,,,,,1,,1,Michael Beasley,,,technical,made,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:45,MIA,shot,,,,,,,,,,Daequan Cook,,,,missed,,3pt,40,26
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:44,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:38,MIN,shot,,,,,,,,,,Jonny Flynn,3,,,made,,3pt,42,30
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:17,MIA,shot,,,,,,,,,,Jermaine O'Neal,2,,,made,,running hook,26,12
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:09,MIN,shot,,,,,,,,,,Jonny Flynn,,,,missed,,3pt,18,30
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,8:07,MIA,rebound,,,,,,,,,,Michael Beasley,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:51,MIA,shot,,,,,,,,,,Carlos Arroyo,,,,missed,,3pt,1,12
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:50,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:32,MIN,shot,Corey Brewer,,,,,,,,,Al Jefferson,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:14,MIA,shot,,,,,,,,,,Michael Beasley,,,,missed,,jump,38,23
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:13,MIN,rebound,,,,,,,,,,Jonny Flynn,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:07,MIN,shot,,,,,,,,,,Jonny Flynn,2,,,made,,driving layup,25,6
Al Jefferson,Corey Brewer,Jonny Flynn,Ryan Gomes,Ryan Hollins,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:00,MIA,timeout,,,,,,,,,,,,,,,,regular,,
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,7:00,MIN,sub,,,,Kevin Love,,Ryan Hollins,,,,,,,,,,,,
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:47,MIA,shot,,,,,,,,,,Daequan Cook,,,,missed,,jump,36,24
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:46,MIN,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:24,MIN,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,17,23
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:22,MIA,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:15,MIA,shot,Carlos Arroyo,,,,,,,,,Daequan Cook,2,,,made,,jump,41,8
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:07,MIA,foul,,,,,,,,Kevin Love,,Michael Beasley,,,,,,shooting,,
Al Jefferson,Corey Brewer,Jonny Flynn,Kevin Love,Ryan Gomes,Carlos Arroyo,Daequan Cook,Jermaine O'Neal,Michael Beasley,Quentin Richardson,1,6:07,MIN,free throw,,,,,,,1,,2,Kevin Love,,,foul,made,,,,
