a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Andris Biedrins,,,,,,,Andre Iguodala,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:37,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,running jump,29,11
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:36,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:20,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,pullup jump,27,28
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:19,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:07,GSW,foul,,,,,,,,Jrue Holiday,,Andris Biedrins,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:07,PHI,free throw,,,,,,,1,,2,Jrue Holiday,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,11:07,PHI,free throw,,,,,,,2,,2,Jrue Holiday,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:55,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,3pt,47,16
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Andris Biedrins,Anthony Morrow,Anthony Tolliver,Monta Ellis,Stephen Curry,1,10:53,PHI,rebound,,,,,,,,,,,,,,,,,,
