a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,12:00,OFF,jump ball,,Marcus Camby,,,Brad Miller,,,,,,,Taj Gibson,,,,,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:40,CHI,shot,Brad Miller,,,,,,,,,Kirk Hinrich,2,,,made,,jump,21,28
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:21,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,14,25
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:20,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,off,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:12,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,9,12
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,11:11,CHI,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:51,CHI,shot,Kirk Hinrich,,,,,,,,,Derrick Rose,2,,,made,,jump,29,25
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:38,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,18,25
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:36,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Brad Miller,Derrick Rose,Kirk Hinrich,Luol Deng,Taj Gibson,1,10:29,CHI,shot,Kirk Hinrich,,,,,,,,,Derrick Rose,2,,,made,,jump,36,13
