a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,12:00,OFF,jump ball,,David Lee,,,J.J. Hickson,,,,,,,Antawn Jamison,,,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:47,NYK,foul,,,,,,,,LeBron James,,Tracy McGrady,,,,,,shooting,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:47,CLE,free throw,,,,,,,1,,2,LeBron James,,,foul,missed,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:47,CLE,rebound,,,,,,,,,,,,,,,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:47,CLE,free throw,,,,,,,2,,2,LeBron James,,,foul,missed,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:46,NYK,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:35,NYK,shot,Sergio Rodriguez,,,,,,,,,Tracy McGrady,2,,,made,,jump,46,7
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:24,CLE,foul,,,,,,,,Sergio Rodriguez,,J.J. Hickson,,,,,,offensive,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:24,CLE,turnover,,,,,,,,,,J.J. Hickson,,,foul,,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:09,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,jump,10,15
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:08,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:01,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,jump,32,23
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:49,NYK,turnover,,,,,,,,,,Danilo Gallinari,,,out of bounds lost ball turnover,,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:36,CLE,shot,Mo Williams,,,,,,,,,Antawn Jamison,2,,,made,,layup,26,6
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:36,NYK,foul,,,,,,,,Antawn Jamison,,Danilo Gallinari,,,,,,shooting,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:36,CLE,free throw,,,,,,,1,,1,Antawn Jamison,,,foul,missed,,,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:34,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Al Harrington,Danilo Gallinari,David Lee,Sergio Rodriguez,Tracy McGrady,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:23,NYK,shot,,,,,,,,,,Sergio Rodriguez,,,,missed,,jump,16,22
