a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,12:00,OFF,jump ball,,Spencer Hawes,,,Brendan Haywood,,,,,,,Beno Udrih,,,,,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:41,SAC,shot,Beno Udrih,,,,,,,,,Carl Landry,2,,,made,,jump,40,12
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:25,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,turnaround jump,21,7
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:24,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:16,SAC,shot,Tyreke Evans,,,,,,,,,Carl Landry,2,,,made,,jump,37,9
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:03,DAL,shot,Brendan Haywood,,,,,,,,,Caron Butler,2,,,made,,jump,18,24
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:47,DAL,foul,,,,,,,,Tyreke Evans,,Brendan Haywood,,,,,,personal,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:39,SAC,turnover,,,,,,,,,,Tyreke Evans,,,bad pass,,Caron Butler,,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:31,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,3pt,34,30
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:30,DAL,rebound,,,,,,,,,,Shawn Marion,,,,,,off,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:18,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,9,8
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:57,SAC,shot,Spencer Hawes,,,,,,,,,Beno Udrih,2,,,made,,reverse layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:38,DAL,shot,,,,,,,,,,Shawn Marion,2,,,made,,layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:21,SAC,shot,,,,,,,,,,Beno Udrih,,,,missed,,jump,41,10
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:20,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:20,SAC,shot,,,,,,,,,,Spencer Hawes,,,,missed,,layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:19,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,off,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:19,SAC,shot,,,,,,,,,,Spencer Hawes,2,,,made,,tip,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:03,DAL,shot,,,,,,,,,,Brendan Haywood,,,,missed,,jump hook,15,8
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:02,SAC,rebound,,,,,,,,,,Omri Casspi,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:55,SAC,shot,,,,,,,,,,Tyreke Evans,,,,missed,,jump,25,11
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:54,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:51,DAL,shot,Jason Kidd,,,,,,,,,Shawn Marion,2,,,made,,running finger roll layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:28,SAC,shot,Beno Udrih,,,,,,,,,Spencer Hawes,2,,,made,,jump,26,23
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:06,DAL,shot,,,,,,,,,,Brendan Haywood,,,,missed,,hook,24,12
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:05,SAC,rebound,,,,,,,,,,Carl Landry,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:52,DAL,foul,,,,,,,,Tyreke Evans,,Caron Butler,,,,,,personal,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:38,SAC,shot,Tyreke Evans,,,,,,,,,Beno Udrih,2,,,made,,jump,34,27
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:27,DAL,shot,,,,,,,,,,Jason Kidd,2,,,made,,jump,15,27
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:15,SAC,shot,,,,,,,,,,Tyreke Evans,2,,,made,,driving layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:50,DAL,shot,,,,,,,,,,Caron Butler,2,,,made,,jump,18,8
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:35,SAC,turnover,,,,,,,,,,Spencer Hawes,,,traveling,,,,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:23,SAC,foul,,,,,,,,Caron Butler,,Tyreke Evans,,,,,,personal,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:14,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,40,11
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:13,SAC,rebound,,,,,,,,,,Spencer Hawes,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:03,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,driving jump,25,14
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:49,DAL,shot,Shawn Marion,,,,,,,,,Caron Butler,2,,,made,,jump,44,11
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:34,SAC,shot,,,Shawn Marion,,,,,,,Omri Casspi,,,,missed,,layup,25,6
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:32,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Beno Udrih,Carl Landry,Omri Casspi,Spencer Hawes,Tyreke Evans,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:27,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,14,23
