a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Roy Hibbert,,,,,,,Lou Williams,,,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:45,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,8,6
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:44,IND,rebound,,,,,,,,,,T.J. Ford,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:36,IND,shot,T.J. Ford,,,,,,,,,Troy Murphy,3,,,made,,3pt,28,32
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:18,IND,foul,,,,,,,,Jrue Holiday,,Earl Watson,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:18,PHI,free throw,,,,,,,1,,2,Jrue Holiday,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,11:18,PHI,free throw,,,,,,,2,,2,Jrue Holiday,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:54,IND,shot,,,,,,,,,,Roy Hibbert,2,,,made,,turnaround jump,13,7
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:34,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,26,23
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:33,IND,rebound,,,,,,,,,,Earl Watson,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:26,IND,shot,,,,,,,,,,Roy Hibbert,,,,missed,,reverse layup,24,6
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:25,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,def,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:21,IND,foul,,,,,,,,Lou Williams,,T.J. Ford,,,,,,shooting,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:21,PHI,free throw,,,,,,,1,,2,Lou Williams,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:21,PHI,free throw,,,,,,,2,,2,Lou Williams,,,foul,made,,,,
Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,Brandon Rush,Earl Watson,Roy Hibbert,T.J. Ford,Troy Murphy,1,10:09,IND,shot,,,,,,,,,,T.J. Ford,,,,missed,,reverse layup,24,7
