a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,12:00,OFF,jump ball,,J.J. Hickson,,,Samuel Dalembert,,,,,,,Elton Brand,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:46,CLE,foul,,,,,,,,Andre Iguodala,,LeBron James,,,,,,shooting,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:46,PHI,free throw,,,,,,,1,,2,Andre Iguodala,,,foul,missed,,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:46,PHI,rebound,,,,,,,,,,,,,,,,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:46,PHI,free throw,,,,,,,2,,2,Andre Iguodala,,,foul,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:33,CLE,shot,LeBron James,,,,,,,,,J.J. Hickson,2,,,made,,jump,43,4
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:16,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,25,12
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:14,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:14,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:13,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,11:05,PHI,shot,Lou Williams,,,,,,,,,Elton Brand,2,,,made,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:50,CLE,shot,LeBron James,,,,,,,,,Mo Williams,3,,,made,,3pt,2,10
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:35,PHI,shot,,,,,,,,,,Elton Brand,2,,,made,,fade away jumper,29,12
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:22,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,driving layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:06,PHI,shot,,,,,,,,,,Lou Williams,,,,missed,,jump,40,5
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:04,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,10:04,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,tip,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,9:44,CLE,shot,Anthony Parker,,,,,,,,,LeBron James,3,,,made,,3pt,41,30
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,9:30,PHI,shot,Jrue Holiday,,,,,,,,,Andre Iguodala,2,,,made,,alley oop dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,9:06,CLE,turnover,,,,,,,,,,J.J. Hickson,,,lost ball,,Lou Williams,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:59,PHI,shot,,,,,,,,,,Lou Williams,,,,missed,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:57,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:57,PHI,shot,,,,,,,,,,Elton Brand,2,,,made,,layup,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:43,CLE,shot,LeBron James,,,,,,,,,J.J. Hickson,2,,,made,,reverse dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:43,PHI,foul,,,,,,,,J.J. Hickson,,Andre Iguodala,,,,,,shooting,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:43,CLE,free throw,,,,,,,1,,1,J.J. Hickson,,,foul,made,,,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:26,PHI,shot,Elton Brand,,,,,,,,,Samuel Dalembert,2,,,made,,slam dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:05,CLE,shot,,,,,,,,,,Anthony Parker,,,,missed,,jump,8,5
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,8:03,PHI,rebound,,,,,,,,,,Lou Williams,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:54,CLE,foul,,,,,,,,Samuel Dalembert,,Anthony Parker,,,,,,personal,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:46,PHI,shot,Jrue Holiday,,,,,,,,,Elton Brand,2,,,made,,step back jump,31,20
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:26,CLE,shot,,,,,,,,,,Leon Powe,,,,missed,,jump,26,13
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:24,PHI,rebound,,,,,,,,,,Jrue Holiday,,,,,,def,,
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:20,PHI,shot,Jrue Holiday,,,,,,,,,Lou Williams,2,,,made,,driving slam dunk,25,6
Anthony Parker,J.J. Hickson,LeBron James,Leon Powe,Mo Williams,Andre Iguodala,Elton Brand,Jrue Holiday,Lou Williams,Samuel Dalembert,1,7:05,CLE,shot,,,,,,,,,,J.J. Hickson,,,,missed,,jump,18,8
