a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,12:00,OFF,jump ball,,Johan Petro,,,Luis Scola,,,,,,,Nene Hilario,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:39,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,3pt,46,19
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:38,HOU,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:21,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,finger roll layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:00,DEN,shot,,,,,,,,,,Nene Hilario,,,,missed,,hook,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:58,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:49,HOU,shot,,,,,,,,,,Luis Scola,,,,missed,,jump,11,20
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:48,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:43,DEN,shot,Chauncey Billups,,,,,,,,,Johan Petro,2,,,made,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:25,HOU,shot,,,,,,,,,,Trevor Ariza,2,,,made,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:10,DEN,shot,Nene Hilario,,,,,,,,,Arron Afflalo,2,,,made,,jump,44,14
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:03,HOU,shot,Aaron Brooks,,,,,,,,,Luis Scola,2,,,made,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:53,DEN,shot,Chauncey Billups,,,,,,,,,Carmelo Anthony,2,,,made,,jump,9,15
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:39,HOU,shot,Luis Scola,,,,,,,,,Aaron Brooks,3,,,made,,3pt,43,23
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:21,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,6,14
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:20,DEN,rebound,,,,,,,,,,Johan Petro,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:18,DEN,shot,,,,,,,,,,Johan Petro,,,,missed,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:17,HOU,rebound,,,,,,,,,,Luis Scola,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,9:09,HOU,shot,Aaron Brooks,,,,,,,,,Chuck Hayes,2,,,made,,layup,25,6
