a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,12:00,OFF,jump ball,,Andrew Bynum,,,Chris Hunter,,,,,,,Derek Fisher,,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:43,LAL,turnover,,,,,,,,,,Andrew Bynum,,,poss lost ball turnover,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:35,LAL,foul,,,,,,,,Chris Hunter,,Kobe Bryant,,,,,,shooting,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:35,GSW,free throw,,,,,,,1,,2,Chris Hunter,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:35,GSW,free throw,,,,,,,2,,2,Chris Hunter,,,foul,made,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:21,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,pullup jump,16,10
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,11:10,GSW,shot,Monta Ellis,,,,,,,,,Chris Hunter,2,,,made,,slam dunk,25,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:43,LAL,shot,Pau Gasol,,,,,,,,,Ron Artest,2,,,made,,step back jump,44,8
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:32,GSW,shot,,,,,,,,,,Stephen Curry,,,,missed,,floating jump,25,13
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:31,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,def,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:22,LAL,turnover,,,,,,,,,,Kobe Bryant,,,lost ball,,Monta Ellis,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:16,GSW,shot,Monta Ellis,,,,,,,,,Corey Maggette,2,,,made,,reverse layup,24,7
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:09,LAL,turnover,,,,,,,,,,Kobe Bryant,,,bad pass,,,,,
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,10:00,GSW,shot,Monta Ellis,,,,,,,,,Anthony Tolliver,3,,,made,,3pt,2,5
Andrew Bynum,Derek Fisher,Kobe Bryant,Pau Gasol,Ron Artest,Anthony Tolliver,Chris Hunter,Corey Maggette,Monta Ellis,Stephen Curry,1,9:39,LAL,shot,Kobe Bryant,,,,,,,,,Pau Gasol,2,,,made,,jump,10,16
