a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,12:00,OFF,jump ball,,Emeka Okafor,,,Drew Gooden,,,,,,,Julian Wright,,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:40,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,33,23
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:39,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:29,LAC,shot,Baron Davis,,,,,,,,,Rasual Butler,3,,,made,,3pt,13,29
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,11:08,NOH,shot,Darren Collison,,,,,,,,,Morris Peterson,3,,,made,,3pt,41,28
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:47,LAC,shot,Eric Gordon,,,,,,,,,Baron Davis,2,,,made,,layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:25,NOH,shot,Morris Peterson,,,,,,,,,Emeka Okafor,2,,,made,,jump,28,21
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,10:07,LAC,shot,Baron Davis,,,,,,,,,Drew Gooden,2,,,made,,jump,8,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:53,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,34,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:52,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,off,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:52,NOH,shot,,,,,,,,,,Julian Wright,,,,missed,,tip,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:50,LAC,rebound,,,,,,,,,,Rasual Butler,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:45,LAC,shot,,,,,,,,,,Baron Davis,,,,missed,,layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:43,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:40,NOH,turnover,,,,,,,,,,Julian Wright,,,bad pass,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:26,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,8,11
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:25,NOH,rebound,,,,,,,,,,Morris Peterson,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,9:17,NOH,shot,Darren Collison,,,,,,,,,Julian Wright,2,,,made,,slam dunk,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:58,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,fade away jumper,35,9
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:58,NOH,rebound,,,,,,,,,,,,,,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:45,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,20,19
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:44,NOH,rebound,,,,,,,,,,,,,,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:22,NOH,shot,Morris Peterson,,,,,,,,,David West,2,,,made,,turnaround fade away,20,19
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:15,LAC,shot,,,,,,,,,,Eric Gordon,,,,missed,,3pt,6,26
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:13,NOH,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Baron Davis,Chris Kaman,Drew Gooden,Eric Gordon,Rasual Butler,1,8:03,NOH,turnover,,,,,,,,,,David West,,,lost ball,,Drew Gooden,,,
