a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,12:00,OFF,jump ball,,Hasheem Thabeet,,,Luis Scola,,,,,,,Zach Randolph,,,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:43,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,layup,25,6
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:43,HOU,foul,,,,,,,,Zach Randolph,,Chuck Hayes,,,,,,shooting,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:43,MEM,free throw,,,,,,,1,,1,Zach Randolph,,,foul,made,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:23,HOU,shot,,,,,,,,,,Luis Scola,2,,,made,,running jump,18,11
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:04,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,turnaround jump,26,12
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,11:03,HOU,rebound,,,,,,,,,,Chuck Hayes,,,,,,def,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:55,HOU,shot,,,,,,,,,,Kevin Martin,2,,,made,,running bank,15,12
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:55,MEM,foul,,,,,,,,Kevin Martin,,O.J. Mayo,,,,,,shooting,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:55,HOU,free throw,,,,,,,1,,1,Kevin Martin,,,foul,missed,,,,
Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,Aaron Brooks,Chuck Hayes,Kevin Martin,Luis Scola,Trevor Ariza,1,10:55,MEM,rebound,,,,,,,,,,Hasheem Thabeet,,,,,,def,,
