a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,12:00,OFF,jump ball,,Emeka Okafor,,,Anthony Tolliver,,,,,,,Anthony Morrow,,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,11:37,GSW,turnover,,,,,,,,,,Corey Maggette,,,lost ball,,Julian Wright,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,11:37,GSW,foul,,,,,,,,Julian Wright,,Corey Maggette,,,,,,personal,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,11:19,NOH,shot,Julian Wright,,,,,,,,,David West,2,,,made,,hook,24,9
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,11:06,GSW,shot,Corey Maggette,,,,,,,,,Anthony Tolliver,3,,,made,,3pt,27,31
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:42,NOH,shot,,,,,,,,,,David West,,,,missed,,layup,27,7
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:41,NOH,rebound,,,,,,,,,,David West,,,,,,off,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:41,NOH,shot,,,,,,,,,,David West,2,,,made,,tip,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:32,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,driving finger roll layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:21,NOH,turnover,,,,,,,,,,Darren Collison,,,lost ball,,Monta Ellis,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,10:16,GSW,shot,Monta Ellis,,,,,,,,,Corey Maggette,2,,,made,,slam dunk,26,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:56,NOH,shot,,,,,,,,,,Morris Peterson,,,,missed,,3pt,21,30
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:55,GSW,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:46,GSW,shot,,,,,,,,,,Anthony Morrow,,,,missed,,3pt,13,28
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:45,NOH,rebound,,,,,,,,,,Darren Collison,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:40,NOH,shot,,,,,,,,,,Darren Collison,2,,,made,,driving layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:28,GSW,shot,Monta Ellis,,,,,,,,,Anthony Tolliver,3,,,made,,3pt,18,31
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:13,NOH,shot,David West,,,,,,,,,Emeka Okafor,2,,,made,,jump bank,21,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:02,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,3pt,34,30
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,9:01,NOH,rebound,,,,,,,,,,David West,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Anthony Morrow,Anthony Tolliver,C.J. Watson,Corey Maggette,Monta Ellis,1,8:51,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,21,11
