a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,12:00,OFF,jump ball,,Emeka Okafor,,,Johan Petro,,,,,,,Carmelo Anthony,,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:38,DEN,turnover,,,,,,,,,,Nene Hilario,,,bad pass,,,,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:22,NOH,shot,,,,,,,,,,David West,,,,missed,,jump,41,11
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:22,DEN,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:08,DEN,shot,,,,,,,,,,Arron Afflalo,,,,missed,,jump,42,11
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:07,DEN,rebound,,,,,,,,,,Johan Petro,,,,,,off,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,11:05,DEN,shot,,,,,,,,,,Johan Petro,2,,,made,,layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,10:44,NOH,shot,,,Nene Hilario,,,,,,,David West,,,,missed,,layup,25,6
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,10:43,NOH,rebound,,,,,,,,,,Julian Wright,,,,,,off,,
Darren Collison,David West,Emeka Okafor,Julian Wright,Morris Peterson,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,1,10:41,NOH,shot,Julian Wright,,,,,,,,,Morris Peterson,2,,,made,,jump,22,22
