a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,12:00,OFF,jump ball,,Anthony Tolliver,,,Hasheem Thabeet,,,,,,,Stephen Curry,,,,,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:49,GSW,shot,Stephen Curry,,,,,,,,,Corey Maggette,2,,,made,,driving layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:30,MEM,shot,Zach Randolph,,,,,,,,,Rudy Gay,3,,,made,,3pt,33,31
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,11:13,GSW,shot,Reggie Williams,,,,,,,,,Anthony Tolliver,2,,,made,,driving layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:59,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,turnaround bank,32,9
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:49,GSW,shot,Stephen Curry,,,,,,,,,Anthony Tolliver,3,,,made,,3pt,25,32
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:29,MEM,shot,,,,,,,,,,Hasheem Thabeet,,,,missed,,turnaround jump,24,11
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:27,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:20,GSW,shot,,,,,,,,,,Monta Ellis,,,,missed,,jump,42,11
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:19,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:07,MEM,shot,,,Stephen Curry,,,,,,,Mike Conley,,,,missed,,layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,10:07,GSW,rebound,,,,,,,,,,,,,,,,,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:58,MEM,foul,,,,,,,,Stephen Curry,,Mike Conley,,,,,,personal,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:44,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,3pt,2,7
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:43,MEM,rebound,,,,,,,,,,Rudy Gay,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:40,MEM,shot,Rudy Gay,,,,,,,,,O.J. Mayo,2,,,made,,running layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:40,GSW,foul,,,,,,,,O.J. Mayo,,Reggie Williams,,,,,,shooting,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:40,MEM,free throw,,,,,,,1,,1,O.J. Mayo,,,foul,missed,,,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:39,MEM,rebound,,,,,,,,,,Hasheem Thabeet,,,,,,off,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:37,MEM,shot,Hasheem Thabeet,,,,,,,,,O.J. Mayo,2,,,made,,jump,19,10
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:37,GSW,foul,,,,,,,,O.J. Mayo,,Corey Maggette,,,,,,shooting,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:37,MEM,free throw,,,,,,,1,,1,O.J. Mayo,,,foul,made,,,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:23,GSW,shot,,,,,,,,,,Corey Maggette,2,,,made,,jump,13,12
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:04,MEM,shot,,,,,,,,,,Rudy Gay,,,,missed,,turnaround jump,28,13
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:02,MEM,rebound,,,,,,,,,,Hasheem Thabeet,,,,,,off,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:02,MEM,shot,,,,,,,,,,Hasheem Thabeet,,,,missed,,layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:01,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,9:01,MEM,shot,,,,,,,,,,Zach Randolph,2,,,made,,tip,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:35,GSW,shot,,,Mike Conley,,,,,,,Stephen Curry,,,,missed,,jump,24,11
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:33,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:29,MEM,shot,Zach Randolph,,,,,,,,,Hasheem Thabeet,2,,,made,,slam dunk,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:12,GSW,shot,,,,,,,,,,Anthony Tolliver,,,,missed,,3pt,10,27
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,8:11,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:56,GSW,foul,,,,,,,,O.J. Mayo,,Monta Ellis,,,,,,personal,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:49,MEM,shot,,,,,,,,,,Zach Randolph,,,,missed,,turnaround bank,32,10
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:47,MEM,rebound,,,,,,,,,,Zach Randolph,,,,,,off,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:46,MEM,shot,,,,,,,,,,Zach Randolph,,,,missed,,layup,25,6
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:46,GSW,rebound,,,,,,,,,,Anthony Tolliver,,,,,,def,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:46,MEM,foul,,,,,,,,Anthony Tolliver,,Hasheem Thabeet,,,,,,loose ball,,
Anthony Tolliver,Corey Maggette,Monta Ellis,Reggie Williams,Stephen Curry,Hasheem Thabeet,Mike Conley,O.J. Mayo,Rudy Gay,Zach Randolph,1,7:31,GSW,shot,,,,,,,,,,Reggie Williams,,,,missed,,running jump,18,10
