a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,12:00,OFF,jump ball,,Josh Smith,,,Marreese Speights,,,,,,,Al Horford,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:39,ATL,shot,,,,,,,,,,Mike Bibby,2,,,made,,jump,28,12
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:19,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,3pt,9,25
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:15,PHI,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:15,PHI,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,25,18
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:15,PHI,rebound,,,,,,,,,,,,,,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:10,PHI,shot,,,,,,,,,,Marreese Speights,,,,missed,,jump,13,11
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:08,PHI,rebound,,,,,,,,,,Jrue Holiday,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,11:05,PHI,turnover,,,,,,,,,,Jason Kapono,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,10:51,ATL,shot,Joe Johnson,,,,,,,,,Mike Bibby,2,,,made,,jump,40,17
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,10:34,PHI,shot,Andre Iguodala,,,,,,,,,Marreese Speights,2,,,made,,jump hook,24,13
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,10:16,ATL,shot,,,,,,,,,,Al Horford,2,,,made,,jump,22,9
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,10:03,PHI,shot,,,,,,,,,,Jrue Holiday,2,,,made,,driving layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:53,ATL,shot,,,,,,,,,,Marvin Williams,,,,missed,,3pt,8,24
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:53,ATL,rebound,,,,,,,,,,Mike Bibby,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:53,PHI,foul,,,,,,,,Mike Bibby,,Jrue Holiday,,,,,,loose ball,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:42,ATL,shot,,,Andre Iguodala,,,,,,,Joe Johnson,,,,missed,,layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:40,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:37,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,jump,16,20
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:16,ATL,foul,,,,,,,,Jrue Holiday,,Mike Bibby,,,,,,personal,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,9:07,PHI,shot,Andre Iguodala,,,,,,,,,Elton Brand,2,,,made,,fade away jumper,24,15
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:55,ATL,shot,,,,,,,,,,Al Horford,,,,missed,,jump,40,18
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:54,PHI,rebound,,,,,,,,,,Jason Kapono,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:41,PHI,shot,,,,,,,,,,Jason Kapono,,,,missed,,jump,11,4
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:38,PHI,rebound,,,,,,,,,,Marreese Speights,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:37,PHI,turnover,,,,,,,,,,Elton Brand,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:23,PHI,foul,,,,,,,,,,Marreese Speights,,,,,,defense 3 second,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:23,ATL,free throw,,,,,,,1,,1,Mike Bibby,,,technical,made,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:14,ATL,turnover,,,,,,,,,,Marvin Williams,,,lost ball,,Jason Kapono,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:09,ATL,violation,,,,,,,,,,Josh Smith,,,,,,defensive goaltending,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,8:09,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,driving layup,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,7:52,ATL,shot,Marvin Williams,,,,,,,,,Mike Bibby,2,,,made,,floating jump,33,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,7:30,PHI,shot,,,,,,,,,,Jrue Holiday,,,,missed,,3pt,24,31
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,7:28,PHI,rebound,,,,,,,,,,Andre Iguodala,,,,,,off,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,7:26,PHI,turnover,,,,,,,,,,Andre Iguodala,,,bad pass,,Marvin Williams,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,7:20,ATL,shot,Josh Smith,,,,,,,,,Joe Johnson,3,,,made,,3pt,2,5
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:56,PHI,shot,Jason Kapono,,,,,,,,,Elton Brand,2,,,made,,turnaround jump,17,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:44,ATL,shot,Mike Bibby,,,,,,,,,Al Horford,2,,,made,,dunk,25,6
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:23,PHI,shot,,,,,,,,,,Marreese Speights,,,,missed,,jump,25,22
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:22,ATL,rebound,,,,,,,,,,Al Horford,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:16,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,jump,34,21
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:14,PHI,rebound,,,,,,,,,,Jason Kapono,,,,,,def,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,6:08,PHI,shot,Andre Iguodala,,,,,,,,,Elton Brand,2,,,made,,fade away jumper,25,15
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,5:53,ATL,turnover,,,,,,,,,,Josh Smith,,,bad pass,,,,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,5:53,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Al Horford,Joe Johnson,Josh Smith,Marvin Williams,Mike Bibby,Andre Iguodala,Elton Brand,Jason Kapono,Jrue Holiday,Marreese Speights,1,5:35,PHI,shot,Jrue Holiday,,,,,,,,,Andre Iguodala,2,,,made,,step back jump,28,13
