a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Darko Milicic,,,Dwight Howard,,,,,,,Al Jefferson,,,,,,
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:37,MIN,turnover,,,,,,,,,,Corey Brewer,,,bad pass,,Dwight Howard,,,
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:26,ORL,shot,,,,,,,,,,Matt Barnes,,,,missed,,3pt,25,31
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:25,MIN,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:13,MIN,shot,,,,,,,,,,Darko Milicic,,,,missed,,hook,26,12
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:13,ORL,rebound,,,,,,,,,,,,,,,,,,
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:51,ORL,shot,Dwight Howard,,,,,,,,,Matt Barnes,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:32,MIN,shot,Darko Milicic,,,,,,,,,Al Jefferson,2,,,made,,layup,25,6
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:17,ORL,turnover,,,,,,,,,,Vince Carter,,,bad pass,,Al Jefferson,,,
Al Jefferson,Corey Brewer,Darko Milicic,Jonny Flynn,Ryan Gomes,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:05,MIN,shot,,,,,,,,,,Jonny Flynn,2,,,made,,turnaround jump,40,7
