a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,12:00,OFF,jump ball,,David Lee,,,Robin Lopez,,,,,,,Steve Nash,,,,,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:47,PHX,shot,,,,,,,,,,Robin Lopez,,,,missed,,layup,25,6
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:46,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:46,NYK,foul,,,,,,,,Robin Lopez,,Bill Walker,,,,,,shooting,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:46,PHX,free throw,,,,,,,1,,2,Robin Lopez,,,foul,made,,,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:46,PHX,free throw,,,,,,,2,,2,Robin Lopez,,,foul,made,,,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:29,NYK,shot,,,,,,,,,,Toney Douglas,,,,missed,,3pt,35,29
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:28,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:21,PHX,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump bank,19,8
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:20,PHX,rebound,,,,,,,,,,Robin Lopez,,,,,,off,,
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:20,PHX,shot,,,,,,,,,,Robin Lopez,2,,,made,,putback dunk,25,6
Bill Walker,Danilo Gallinari,David Lee,Toney Douglas,Tracy McGrady,Amare Stoudemire,Grant Hill,Jason Richardson,Robin Lopez,Steve Nash,1,11:17,NYK,shot,,,,,,,,,,Danilo Gallinari,,,,missed,,running jump,21,9
