a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,12:00,OFF,jump ball,,Marcus Camby,,,Emeka Okafor,,,,,,,Andre Miller,,,,,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:42,POR,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,jump,22,13
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,11:20,NOH,shot,Marcus Thornton,,,,,,,,,Morris Peterson,3,,,made,,3pt,27,33
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:59,POR,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,10,13
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:57,POR,rebound,,,,,,,,,,Marcus Camby,,,,,,off,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:45,POR,shot,Brandon Roy,,,,,,,,,Marcus Camby,2,,,made,,jump,29,23
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:20,NOH,shot,,,,,,,,,,Emeka Okafor,,,,missed,,hook,26,14
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:19,POR,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:11,POR,shot,,,,,,,,,,Andre Miller,2,,,made,,driving layup,25,6
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,10:00,NOH,shot,Chris Paul,,,,,,,,,David West,2,,,made,,dunk,25,6
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,9:44,POR,shot,Andre Miller,,,,,,,,,Brandon Roy,2,,,made,,jump,35,23
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,9:44,NOH,foul,,,,,,,,Brandon Roy,,Marcus Thornton,,,,,,shooting,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,9:44,POR,free throw,,,,,,,1,,1,Brandon Roy,,,foul,made,,,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,9:37,NOH,foul,,,,,,,,Marcus Camby,,David West,,,,,,offensive,,
Andre Miller,Brandon Roy,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Chris Paul,David West,Emeka Okafor,Marcus Thornton,Morris Peterson,1,9:37,NOH,turnover,,,,,,,,,,David West,,,foul,,,,,
