a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,12:00,OFF,jump ball,,Johan Petro,,,Dwight Howard,,,,,,,Jameer Nelson,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:42,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,turnaround fade away,34,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:41,DEN,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:31,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,turnaround jump,14,11
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:30,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:22,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,jump,38,16
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:21,DEN,rebound,,,,,,,,,,Chauncey Billups,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:05,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,28,16
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,11:04,ORL,rebound,,,,,,,,,,Jameer Nelson,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:52,ORL,shot,,,,,,,,,,Vince Carter,,,,missed,,3pt,24,34
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:51,DEN,rebound,,,,,,,,,,Johan Petro,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:30,DEN,shot,Johan Petro,,,,,,,,,Arron Afflalo,2,,,made,,jump,12,21
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,Jameer Nelson,Matt Barnes,Rashard Lewis,Vince Carter,1,10:25,ORL,timeout,,,,,,,,,,,,,,,,regular,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,10:25,ORL,sub,,,,J.J. Redick,,Vince Carter,,,,,,,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,10:11,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,10:09,ORL,rebound,,,,,,,,,,Rashard Lewis,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,10:09,ORL,shot,,,,,,,,,,Rashard Lewis,,,,missed,,putback layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,10:06,ORL,rebound,,,,,,,,,,J.J. Redick,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Dwight Howard,J.J. Redick,Jameer Nelson,Matt Barnes,Rashard Lewis,1,9:56,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,reverse layup,25,6
