a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,12:00,OFF,jump ball,,Donte Greene,,,J.J. Hickson,,,,,,,Beno Udrih,,,,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:46,SAC,shot,Beno Udrih,,,,,,,,,Carl Landry,2,,,made,,jump,10,7
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:26,CLE,shot,Mo Williams,,,,,,,,,J.J. Hickson,2,,,made,,slam dunk,25,5
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:16,SAC,shot,Beno Udrih,,,,,,,,,Jason Thompson,2,,,made,,driving dunk,24,5
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,11:01,CLE,shot,Mo Williams,,,,,,,,,Antawn Jamison,3,,,made,,3pt,12,27
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:44,SAC,shot,,,,,,,,,,Beno Udrih,2,,,made,,jump,12,20
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:24,SAC,foul,,,,,,,,LeBron James,,Dominic McGuire,,,,,,shooting,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:24,CLE,free throw,,,,,,,1,,2,LeBron James,,,foul,made,,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:24,CLE,free throw,,,,,,,2,,2,LeBron James,,,foul,made,,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,10:06,SAC,shot,Donte Greene,,,,,,,,,Carl Landry,2,,,made,,dunk,25,6
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:53,CLE,turnover,,,,,,,,,,J.J. Hickson,,,lost ball,,Dominic McGuire,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:48,SAC,turnover,,,,,,,,,,Dominic McGuire,,,bad pass,,J.J. Hickson,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:40,CLE,shot,,,,,,,,,,Antawn Jamison,,,,missed,,3pt,49,12
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:37,SAC,rebound,,,,,,,,,,Carl Landry,,,,,,def,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:30,SAC,shot,,,,,,,,,,Donte Greene,,,,missed,,jump,40,9
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:29,CLE,rebound,,,,,,,,,,Anthony Parker,,,,,,def,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:25,CLE,shot,,,,,,,,,,Mo Williams,,,,missed,,layup,25,8
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:21,SAC,rebound,,,,,,,,,,Dominic McGuire,,,,,,def,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:17,SAC,shot,,,,,,,,,,Beno Udrih,,,,missed,,jump,8,11
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,9:17,CLE,rebound,,,,,,,,,,,,,,,,,,
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:58,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,driving finger roll layup,24,6
Beno Udrih,Carl Landry,Dominic McGuire,Donte Greene,Jason Thompson,Antawn Jamison,Anthony Parker,J.J. Hickson,LeBron James,Mo Williams,1,8:42,SAC,shot,Beno Udrih,,,,,,,,,Carl Landry,2,,,made,,jump,20,23
