a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,12:00,OFF,jump ball,,Johan Petro,,,Brendan Haywood,,,,,,,Nene Hilario,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:42,DAL,foul,,,,,,,,Nene Hilario,,Brendan Haywood,,,,,,shooting,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:42,DEN,free throw,,,,,,,1,,2,Nene Hilario,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:42,DEN,free throw,,,,,,,2,,2,Nene Hilario,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:31,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,29,25
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:30,DEN,rebound,,,,,,,,,,Nene Hilario,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:12,DEN,shot,,,,,,,,,,Johan Petro,,,,missed,,jump,42,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:11,DAL,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,11:04,DEN,foul,,,,,,,,Jason Kidd,,Johan Petro,,,,,,personal,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:52,DEN,foul,,,,,,,,Dirk Nowitzki,,Johan Petro,,,,,,shooting,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Johan Petro,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:52,DAL,free throw,,,,,,,1,,2,Dirk Nowitzki,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:52,DEN,sub,,,,Malik Allen,,Johan Petro,,,,,,,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:52,DAL,free throw,,,,,,,2,,2,Dirk Nowitzki,,,foul,made,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:35,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,32,18
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:34,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:30,DAL,shot,Jason Kidd,,,,,,,,,Brendan Haywood,2,,,made,,slam dunk,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:12,DEN,turnover,,,,,,,,,,Nene Hilario,,,bad pass,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,10:00,DAL,shot,Jason Kidd,,,,,,,,,Caron Butler,3,,,made,,3pt,30,30
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:35,DEN,shot,,,,,,,,,,Arron Afflalo,,,,missed,,3pt,8,27
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:34,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:29,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,14,10
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:28,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:14,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,3pt,49,5
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:13,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,9:03,DAL,shot,Jason Kidd,,,,,,,,,Brendan Haywood,2,,,made,,layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:43,DEN,shot,,,,,,,,,,Arron Afflalo,2,,,made,,driving reverse layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:27,DAL,shot,,,,,,,,,,Shawn Marion,,,,missed,,turnaround hook,36,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:26,DEN,rebound,,,,,,,,,,Malik Allen,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:18,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,38,16
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:17,DAL,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:13,DEN,foul,,,,,,,,Brendan Haywood,,Nene Hilario,,,,,,personal,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,8:02,DAL,shot,Dirk Nowitzki,,,,,,,,,Shawn Marion,2,,,made,,driving layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:37,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,driving layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:35,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:20,DAL,shot,Dirk Nowitzki,,,,,,,,,Shawn Marion,2,,,made,,running jump,34,8
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,7:07,DEN,shot,Chauncey Billups,,,,,,,,,Carmelo Anthony,2,,,made,,jump,8,11
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:52,DAL,shot,Shawn Marion,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,39,20
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:36,DEN,shot,,,,,,,,,,Chauncey Billups,,,,missed,,driving reverse layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:35,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:28,DAL,shot,Jason Kidd,,,,,,,,,Dirk Nowitzki,2,,,made,,running layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:23,DEN,timeout,,,,,,,,,,,,,,,,regular,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:23,DEN,violation,,,,,,,,,,,,,,,,delay of game,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:14,DAL,foul,,,,,,,,Carmelo Anthony,,Jason Kidd,,,,,,personal,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:04,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,driving jump,25,9
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:03,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:03,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,tip,25,9
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:02,DEN,rebound,,,,,,,,,,Malik Allen,,,,,,off,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,6:02,DEN,shot,,,,,,,,,,Malik Allen,2,,,made,,putback layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:43,DAL,shot,,,,,,,,,,Caron Butler,,,,missed,,step back jump,18,13
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:42,DEN,rebound,,,,,,,,,,,,,,,,,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:22,DEN,shot,,,,,,,,,,Chauncey Billups,2,,,made,,driving layup,25,6
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,5:08,DEN,foul,,,,,,,,Caron Butler,,Arron Afflalo,,,,,,personal,,
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,4:55,DAL,shot,Shawn Marion,,,,,,,,,Jason Kidd,3,,,made,,3pt,34,31
Arron Afflalo,Carmelo Anthony,Chauncey Billups,Malik Allen,Nene Hilario,Brendan Haywood,Caron Butler,Dirk Nowitzki,Jason Kidd,Shawn Marion,1,4:35,DEN,shot,,,,,,,,,,Nene Hilario,2,,,made,,jump,,
